EV      	Name                  	Team 	TEV   	Pos 	GP 	SGP 	G  	A  	P   	ESP
 30.748 	Keegan Kolesar        	VGK  	1.175 	F   	82 	 30 	12 	18 	 30 	 29
 30.695 	Tanner Pearson        	VGK  	1.175 	F   	78 	 26 	12 	15 	 27 	 26
 30.483 	Dawson Mercer         	NJD  	0.933 	F   	82 	 29 	19 	17 	 36 	 27
 30.236 	Andrew Mangiapane     	WSH  	1.087 	F   	81 	 31 	14 	14 	 28 	 23
 29.939 	Vladislav Gavrikov    	LAK  	0.899 	D   	82 	 33 	 5 	25 	 30 	 29
 29.884 	Jeff Skinner          	EDM  	0.854 	F   	72 	 27 	16 	13 	 29 	 27
 29.736 	Marcus Johansson      	MIN  	0.638 	F   	72 	 28 	11 	23 	 34 	 27
 29.353 	Anthony Beauvillier   	WSH  	1.087 	F   	81 	 29 	15 	10 	 25 	 23
 28.021 	Taylor Raddysh        	WSH  	1.087 	F   	80 	 29 	 7 	20 	 27 	 26
 27.989 	Darnell Nurse         	EDM  	0.854 	D   	76 	 28 	 5 	28 	 33 	 30
 27.974 	Ryan Lindgren         	COL  	0.976 	D   	72 	 27 	 4 	18 	 22 	 20
 27.891 	Eric Robinson         	CAR  	1.120 	F   	82 	 30 	14 	18 	 32 	 32
 27.816 	Evan Rodrigues        	FLA  	0.999 	F   	82 	 30 	15 	17 	 32 	 25
 27.501 	Oliver Ekman-Larsson  	TOR  	1.068 	D   	77 	 27 	 4 	25 	 29 	 25
 27.163 	Jaccob Slavin         	CAR  	1.120 	D   	80 	 28 	 6 	21 	 27 	 24
 27.059 	Philip Broberg        	STL  	0.710 	D   	68 	 29 	 8 	21 	 29 	 27
 27.009 	Marco Rossi           	MIN  	0.638 	F   	82 	 30 	24 	36 	 60 	 44
 26.950 	Cody Glass            	NJD  	0.933 	F   	65 	 25 	 6 	16 	 22 	 20
 26.875 	Corey Perry           	EDM  	0.854 	F   	81 	 31 	19 	11 	 30 	 23
 26.525 	Nic Dowd              	WSH  	1.087 	F   	82 	 31 	14 	13 	 27 	 25
 26.482 	Brendan Gallagher     	MTL  	0.608 	F   	82 	 31 	21 	17 	 38 	 31
 26.044 	Christian Dvorak      	MTL  	0.608 	F   	82 	 31 	12 	21 	 33 	 31
 25.983 	Erik Haula            	NJD  	0.933 	F   	69 	 27 	11 	10 	 21 	 16
 25.478 	Viktor Arvidsson      	EDM  	0.854 	F   	67 	 31 	15 	12 	 27 	 24
 25.437 	Jordan Spence         	LAK  	0.899 	D   	79 	 31 	 4 	24 	 28 	 23
 25.320 	Michael Anderson      	LAK  	0.899 	D   	77 	 28 	 6 	18 	 24 	 24
 25.277 	Jared Spurgeon        	MIN  	0.638 	D   	66 	 29 	 7 	25 	 32 	 23
 25.264 	Patrik Laine          	MTL  	0.608 	F   	52 	 29 	20 	13 	 33 	 14
 24.864 	Adam Henrique         	EDM  	0.854 	F   	81 	 30 	12 	15 	 27 	 20
 24.786 	Brian Dumoulin        	NJD  	0.933 	D   	80 	 29 	 3 	19 	 22 	 22
 23.855 	Erik Cernak           	TBL  	0.903 	D   	76 	 32 	 3 	18 	 21 	 19
 23.840 	Esa Lindell           	DAL  	0.925 	D   	80 	 29 	 5 	21 	 26 	 25
 23.681 	Ondrej Palat          	NJD  	0.933 	F   	77 	 26 	15 	13 	 28 	 23
 23.635 	Fabian Zetterlund     	OTT  	0.834 	F   	84 	 30 	19 	22 	 41 	 34
 23.619 	Justin Faulk          	STL  	0.710 	D   	78 	 30 	 4 	28 	 32 	 20
 23.473 	Frederick Gaudreau    	MIN  	0.638 	F   	82 	 30 	18 	19 	 37 	 32
 23.453 	Brandt Clarke         	LAK  	0.899 	D   	78 	 31 	 5 	28 	 33 	 24
 23.419 	Connor Brown          	EDM  	0.854 	F   	82 	 31 	13 	17 	 30 	 28
 22.734 	Sam Steel             	DAL  	0.925 	F   	79 	 29 	 6 	19 	 25 	 22
 22.604 	Brandon Duhaime       	WSH  	1.087 	F   	82 	 31 	 9 	12 	 21 	 20
 21.551 	Cody Ceci             	DAL  	0.925 	D   	85 	 31 	 4 	20 	 24 	 23
 20.634 	Brett Kulak           	EDM  	0.854 	D   	82 	 31 	 7 	18 	 25 	 25
 19.653 	Ryan Hartman          	MIN  	0.638 	F   	69 	 22 	11 	15 	 26 	 19
 19.143 	Oscar Sundqvist       	STL  	0.710 	F   	67 	 29 	 6 	14 	 20 	 13
 19.090 	Marcus Foligno        	MIN  	0.638 	F   	77 	 25 	14 	15 	 29 	 29
 18.751 	Alex Newhook          	MTL  	0.608 	F   	82 	 31 	15 	11 	 26 	 22
 18.437 	Jake Evans            	MTL  	0.608 	F   	82 	 31 	13 	23 	 36 	 30
 15.419 	Josh Anderson         	MTL  	0.608 	F   	81 	 30 	15 	12 	 27 	 26
 15.104 	Mike Matheson         	MTL  	0.608 	D   	80 	 31 	 6 	25 	 31 	 20
 14.626 	Gustav Nyquist        	MIN  	0.638 	F   	79 	 30 	11 	17 	 28 	 23
 14.533 	Brock Faber           	MIN  	0.638 	D   	78 	 30 	10 	19 	 29 	 18
