EV    	Name
1.241 	VGK
1.210 	WPG
1.151 	CAR
1.139 	WSH
1.116 	TOR
1.067 	FLA
1.052 	COL
1.023 	LAK
1.022 	DAL
1.013 	TBL
0.970 	EDM
0.926 	NJD
0.863 	OTT
0.708 	STL
0.639 	MIN
0.623 	MTL
