Rank	Country	Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
35	CA	Victor Hedman	TBL	33	D	78	13	63	76	76	18	24:48	18:56	3:28	2:23	9	4	0	2	0	36	27	0	12	1	45	31	0	14	1	40.8%	0.403	1.954	2.357	0.366	1.462	1.828	0.886	5.982	6.868	0.167	0.808	0.974	168	7.7%	65	102	0	0	0.00%
36	CA	Chris Kreider	NYR	32	F	82	39	36	75	26	19	18:47	13:41	3:31	1:34	19	18	2	7	1	22	11	3	9	2	41	29	5	16	3	38.7%	1.519	1.402	2.922	1.016	1.176	2.192	3.738	2.284	6.022	0.476	0.439	0.915	246	15.9%	99	20	35	61	36.46%
37	CA	Nazem Kadri	CGY	33	F	82	29	46	75	43	0	18:25	15:13	3:03	0:08	19	10	0	4	2	34	12	0	10	2	53	22	0	14	4	29.3%	1.152	1.827	2.978	0.913	1.634	2.548	2.389	2.867	5.257	0.354	0.561	0.915	277	10.5%	57	24	592	618	48.93%
38	CA	Adrian Kempe	LAK	27	F	77	28	47	75	72	13	18:56	14:08	3:06	1:41	20	5	3	4	1	24	22	1	7	2	44	27	4	11	3	36.0%	1.152	1.934	3.087	1.102	1.322	2.424	1.254	5.518	6.772	0.364	0.610	0.974	246	11.4%	112	32	3	10	23.08%
39	CA	Brandon Hagel	TBL	25	F	82	26	49	75	79	1	19:15	16:03	1:11	2:00	24	2	0	3	1	42	5	2	5	3	66	7	2	8	4	9.3%	0.988	1.862	2.850	1.094	1.914	3.007	1.235	3.088	4.323	0.317	0.598	0.915	184	14.1%	56	45	25	36	40.98%
40	CA	Gustav Nyquist	NSH	34	F	81	23	52	75	8	7	17:44	14:06	3:01	0:36	17	5	1	4	0	32	19	1	9	1	49	24	2	13	1	32.0%	0.960	2.171	3.131	0.893	1.681	2.574	1.223	4.646	5.869	0.284	0.642	0.926	153	15.0%	36	38	15	24	38.46%
41	CA	Brady Tkachuk	OTT	24	F	81	37	37	74	134	1	19:08	15:39	3:26	0:03	25	12	0	2	1	27	10	0	5	1	52	22	0	7	2	29.7%	1.432	1.432	2.864	1.183	1.278	2.461	2.585	2.154	4.739	0.457	0.457	0.914	357	10.4%	294	34	200	180	52.63%
42	CA	Jack Hughes	NJD	22	F	62	27	47	74	12	-12	20:58	17:06	3:48	0:03	18	9	0	4	2	25	22	0	6	1	43	31	0	10	3	41.9%	1.246	2.169	3.414	1.019	1.415	2.433	2.287	5.592	7.879	0.435	0.758	1.194	274	9.9%	10	24	118	199	37.22%
43	CA	Brock Boeser	VAN	26	F	81	40	33	73	14	23	18:36	14:49	3:45	0:00	24	16	0	4	1	24	9	0	9	3	48	25	0	13	4	34.2%	1.593	1.314	2.907	1.199	1.199	2.397	3.151	1.772	4.923	0.494	0.407	0.901	204	19.6%	56	29	13	12	52.00%
44	CA	Kevin Fiala	LAK	27	F	82	29	44	73	62	1	18:02	14:51	3:08	0:01	18	11	0	2	1	25	19	0	4	0	43	30	0	6	1	41.1%	1.177	1.785	2.962	0.886	1.231	2.117	2.556	4.415	6.971	0.354	0.537	0.890	225	12.9%	67	28	10	28	26.32%
45	CA	Adam Fox	NYR	25	D	72	17	56	73	36	21	23:26	18:20	3:32	1:33	10	6	1	5	1	28	27	1	10	2	38	33	2	15	3	45.2%	0.604	1.991	2.595	0.454	1.272	1.726	1.414	6.365	7.779	0.236	0.778	1.014	137	12.4%	44	123	0	0	0.00%
46	CA	Carter Verhaeghe	FLA	28	F	76	34	38	72	36	17	17:57	14:42	3:14	0:01	26	8	0	7	1	25	13	0	5	0	51	21	0	12	1	29.2%	1.494	1.670	3.164	1.395	1.342	2.737	1.953	3.174	5.127	0.447	0.500	0.947	246	13.8%	63	20	37	47	44.05%
47	CA	Lucas Raymond	DET	21	F	82	31	41	72	30	-12	17:45	14:54	2:43	0:07	25	6	0	4	3	31	10	0	7	1	56	16	0	11	4	22.2%	1.278	1.690	2.968	1.227	1.521	2.748	1.614	2.690	4.304	0.378	0.500	0.878	163	19.0%	69	27	4	6	40.00%
48	CA	Mika Zibanejad	NYR	30	F	81	26	46	72	30	15	19:44	14:23	3:28	1:53	12	12	2	3	2	23	19	4	9	2	35	31	6	12	4	43.1%	0.975	1.726	2.701	0.618	1.184	1.801	2.564	4.059	6.623	0.321	0.568	0.889	221	11.8%	49	55	548	564	49.28%
49	CA	Mark Scheifele	WPG	30	F	74	25	47	72	57	19	20:11	16:59	3:08	0:02	19	6	0	4	1	35	12	0	10	2	54	18	0	14	3	25.0%	1.004	1.888	2.892	0.906	1.670	2.576	1.547	3.094	4.642	0.338	0.635	0.973	154	16.2%	63	40	603	650	48.12%
50	CA	Anze Kopitar	LAK	36	F	81	26	44	70	22	11	19:39	14:46	3:03	1:49	16	9	1	6	0	28	14	2	6	2	44	23	3	12	2	32.9%	0.980	1.658	2.638	0.802	1.404	2.207	2.175	3.383	5.558	0.321	0.543	0.864	133	19.6%	37	65	859	701	55.06%
51	CA	Tim Stützle	OTT	21	F	75	18	52	70	28	-17	21:07	16:58	3:26	0:41	17	1	0	2	2	33	19	0	9	3	50	20	0	11	5	28.6%	0.682	1.970	2.652	0.801	1.555	2.356	0.232	4.413	4.645	0.240	0.693	0.933	192	9.4%	100	41	239	273	46.68%
52	CA	Noah Dobson	NYI	23	D	79	10	60	70	36	12	24:31	20:26	2:59	1:06	9	1	0	4	0	36	23	1	8	4	45	24	1	12	4	34.3%	0.310	1.858	2.168	0.335	1.338	1.673	0.255	5.855	6.110	0.127	0.759	0.886	174	5.8%	85	180	0	0	0.00%
53	CA	Jonathan Marchessault	VGK	33	F	82	42	27	69	40	-2	17:53	14:20	3:32	0:00	34	8	0	5	2	18	9	0	7	2	52	17	0	12	4	24.6%	1.717	1.104	2.821	1.734	0.918	2.652	1.654	1.861	3.515	0.512	0.329	0.841	266	15.8%	107	23	6	18	25.00%
54	CA	Brock Nelson	NYI	32	F	82	34	35	69	28	-5	18:05	14:54	2:52	0:17	24	9	1	2	1	24	10	1	9	1	48	19	2	11	2	27.5%	1.376	1.416	2.792	1.178	1.178	2.355	2.285	2.539	4.824	0.415	0.427	0.841	250	13.6%	38	47	356	431	45.24%
55	CA	Dylan Larkin	DET	27	F	68	33	36	69	39	5	20:10	15:27	3:10	1:32	17	14	2	5	2	24	12	0	7	4	41	26	2	12	6	37.7%	1.443	1.575	3.018	0.971	1.370	2.341	3.881	3.327	7.208	0.485	0.529	1.015	221	14.9%	44	34	716	577	55.38%
56	CA	Matthew Boldy	MIN	22	F	75	29	40	69	48	5	18:54	14:51	3:56	0:06	19	10	0	7	1	25	15	0	7	1	44	25	0	14	2	36.2%	1.227	1.692	2.919	1.023	1.347	2.370	2.028	3.043	5.071	0.387	0.533	0.920	227	12.8%	33	32	37	51	42.05%
57	CA	Ryan O'Reilly	NSH	32	F	82	26	43	69	18	6	19:45	14:37	3:19	1:49	12	14	0	1	0	29	14	0	12	4	41	28	0	13	4	40.6%	0.962	1.592	2.554	0.600	1.451	2.052	3.083	3.083	6.166	0.317	0.524	0.841	180	14.4%	26	56	828	708	53.91%
58	CA	Josh Morrissey	WPG	28	D	81	10	59	69	44	34	24:10	20:46	3:17	0:06	8	2	0	1	0	42	17	0	12	3	50	19	0	13	3	27.5%	0.306	1.807	2.114	0.285	1.497	1.782	0.450	3.823	4.273	0.123	0.728	0.852	196	5.1%	90	103	0	0	0.00%
59	CA	Travis Konecny	PHI	26	F	76	33	35	68	67	4	19:50	15:17	2:59	1:33	23	4	6	5	0	29	5	1	8	1	52	9	7	13	1	13.2%	1.313	1.393	2.706	1.188	1.498	2.685	1.057	1.321	2.377	0.434	0.461	0.895	244	13.5%	91	32	39	58	40.21%
60	CA	Bo Horvat	NYI	28	F	81	33	35	68	39	-1	19:41	15:58	2:58	0:44	22	10	1	6	3	26	8	1	7	1	48	18	2	13	4	26.5%	1.241	1.316	2.558	1.020	1.205	2.225	2.486	1.988	4.474	0.407	0.432	0.840	248	13.3%	61	42	765	654	53.91%
61	CA	Jack Eichel	VGK	27	F	63	31	37	68	27	4	20:31	14:37	3:55	1:57	20	11	0	7	2	24	11	2	7	3	44	22	2	14	5	32.4%	1.439	1.717	3.156	1.302	1.563	2.865	2.666	2.666	5.332	0.492	0.587	1.079	278	11.2%	26	61	413	495	45.48%
62	CA	Seth Jarvis	CAR	21	F	81	33	34	67	14	23	18:45	13:46	2:55	2:02	18	13	2	9	1	26	7	1	6	1	44	20	3	15	2	29.9%	1.304	1.343	2.647	0.968	1.398	2.365	3.287	1.770	5.058	0.407	0.420	0.827	176	18.8%	115	52	157	195	44.60%
