Rank	Country	Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
101	CA	Trevor Moore	LAK	28	F	82	31	26	57	28	11	17:58	14:27	1:51	1:39	27	2	2	5	0	21	5	0	5	0	48	7	2	10	0	12.3%	1.262	1.058	2.320	1.366	1.062	2.428	0.791	1.977	2.768	0.378	0.317	0.695	244	12.7%	92	58	14	34	29.17%
102	CA	Alexis Lafrenière	NYR	22	F	82	28	29	57	40	2	17:16	15:58	1:16	0:01	26	2	0	5	1	25	4	0	4	0	51	6	0	9	1	10.5%	1.187	1.229	2.415	1.191	1.145	2.336	1.147	2.294	3.441	0.341	0.354	0.695	217	12.9%	73	21	17	49	25.76%
103	CA	Casey Mittelstadt	COL	25	F	80	18	39	57	32	10	17:43	15:15	2:23	0:05	15	3	0	1	0	33	6	0	6	1	48	9	0	7	1	15.8%	0.761	1.650	2.411	0.738	1.623	2.360	0.944	1.888	2.831	0.225	0.488	0.713	127	14.2%	25	31	529	595	47.06%
104	CA	Matias Maccelli	ARI	23	F	82	17	40	57	8	-4	16:14	14:18	1:52	0:03	15	2	0	2	1	29	10	1	3	0	44	12	1	5	1	21.1%	0.766	1.803	2.569	0.767	1.484	2.251	0.781	3.906	4.687	0.207	0.488	0.695	149	11.4%	25	20	6	10	37.50%
105	CA	Zachary Werenski	CBJ	26	D	70	11	46	57	22	0	24:27	20:23	2:43	1:19	9	2	0	0	0	36	10	0	6	1	45	12	0	6	1	21.1%	0.386	1.613	1.998	0.378	1.513	1.891	0.629	3.145	3.774	0.157	0.657	0.814	202	5.5%	23	130	0	0	0.00%
106	CA	Tage Thompson	BUF	26	F	71	29	27	56	43	-1	18:07	14:30	2:42	0:54	18	9	2	3	0	20	7	0	8	2	38	16	2	11	2	28.6%	1.353	1.259	2.612	1.048	1.165	2.213	2.816	2.190	5.006	0.408	0.380	0.789	246	11.8%	79	29	372	487	43.31%
107	CA	Bryan Rust	PIT	31	F	62	28	28	56	20	10	19:34	15:35	2:27	1:31	24	3	1	3	1	22	6	0	2	0	46	9	1	5	1	16.1%	1.384	1.384	2.768	1.490	1.366	2.855	1.178	2.356	3.533	0.452	0.452	0.903	196	14.3%	47	51	2	6	25.00%
108	CA	Jonathan Drouin	COL	28	F	79	19	37	56	28	12	18:11	14:29	3:41	0:00	14	5	0	2	1	23	14	0	6	0	37	19	0	8	1	33.9%	0.794	1.545	2.339	0.734	1.206	1.940	1.029	2.880	3.909	0.241	0.468	0.709	127	15.0%	41	33	44	41	51.76%
109	CA	Erik Karlsson	PIT	33	D	82	11	45	56	44	4	24:16	20:36	3:30	0:09	9	2	0	4	2	30	15	0	7	1	39	17	0	11	3	30.4%	0.332	1.357	1.688	0.319	1.065	1.384	0.418	3.134	3.552	0.134	0.549	0.683	213	5.2%	40	99	0	0	0.00%
110	CA	Shayne Gostisbehere	DET	30	D	81	10	46	56	16	-16	19:05	15:24	3:21	0:19	8	2	0	2	0	19	27	0	6	3	27	29	0	8	3	51.8%	0.388	1.785	2.173	0.385	0.914	1.298	0.442	5.966	6.408	0.123	0.568	0.691	139	7.2%	29	75	0	0	0.00%
111	CA	Tyler Toffoli	WPG	31	F	79	33	22	55	14	-6	16:57	13:43	3:13	0:01	22	11	0	4	1	15	7	0	2	0	37	18	0	6	1	32.7%	1.478	0.985	2.463	1.218	0.830	2.048	2.593	1.650	4.244	0.418	0.278	0.696	229	14.4%	75	11	27	44	38.03%
112	CA	Vladimir Tarasenko	FLA	32	F	76	23	32	55	12	13	15:44	13:23	2:20	0:00	20	3	0	5	0	26	6	0	7	1	46	9	0	12	1	16.4%	1.154	1.605	2.759	1.180	1.533	2.713	1.011	2.022	3.032	0.303	0.421	0.724	155	14.8%	85	39	4	3	57.14%
113	CA	Quinton Byfield	LAK	21	F	80	20	35	55	42	19	16:29	14:09	2:18	0:01	14	6	0	4	0	27	8	0	6	0	41	14	0	10	0	25.5%	0.910	1.592	2.502	0.742	1.431	2.173	1.951	2.601	4.552	0.250	0.438	0.688	161	12.4%	66	19	41	49	45.56%
114	CA	Michael Bunting	PIT	28	F	81	19	36	55	57	-19	15:41	12:50	2:50	0:00	12	7	0	3	0	22	14	0	3	0	34	21	0	6	0	38.2%	0.897	1.700	2.597	0.692	1.269	1.962	1.828	3.655	5.483	0.235	0.444	0.679	168	11.3%	49	21	7	16	30.43%
115	CA	Blake Coleman	CGY	32	F	78	30	24	54	76	19	17:07	14:40	0:55	1:31	23	3	4	7	0	22	0	2	1	0	45	3	6	8	0	5.6%	1.347	1.078	2.424	1.205	1.153	2.359	2.482	0.000	2.482	0.385	0.308	0.692	191	15.7%	128	57	31	38	44.93%
116	CA	Kyle Palmieri	NYI	32	F	82	30	24	54	26	-16	17:13	13:52	2:45	0:35	20	10	0	8	1	14	10	0	4	1	34	20	0	12	2	37.0%	1.275	1.020	2.295	1.054	0.738	1.792	2.660	2.660	5.320	0.366	0.293	0.659	218	13.8%	89	43	13	21	38.24%
117	CA	Troy Terry	ANA	26	F	76	20	34	54	24	-10	18:17	15:49	2:24	0:03	16	4	0	5	1	25	9	0	4	1	41	13	0	9	2	24.1%	0.863	1.468	2.331	0.799	1.248	2.046	1.311	2.949	4.259	0.263	0.447	0.711	172	11.6%	17	30	6	12	33.33%
118	CA	Philipp Kurashev	CHI	24	F	75	18	36	54	23	-44	19:01	15:45	2:56	0:18	12	6	0	3	1	23	13	0	3	2	35	19	0	6	3	35.2%	0.757	1.514	2.271	0.609	1.167	1.777	1.628	3.527	5.154	0.240	0.480	0.720	128	14.1%	27	48	127	147	46.35%
119	CA	Miro Heiskanen	DAL	24	D	71	9	45	54	36	8	24:32	20:33	3:17	0:41	7	2	0	2	0	26	19	0	6	2	33	21	0	8	2	38.9%	0.310	1.550	1.860	0.288	1.069	1.357	0.513	4.878	5.391	0.127	0.634	0.761	162	5.6%	55	97	0	0	0.00%
120	CA	Valeri Nichushkin	COL	28	F	54	28	25	53	22	5	21:21	15:39	3:52	1:49	12	16	0	6	2	18	5	2	6	0	30	21	2	12	2	39.6%	1.457	1.301	2.758	0.851	1.277	2.128	4.596	1.436	6.032	0.519	0.463	0.981	158	17.7%	74	24	2	5	28.57%
121	CA	Owen Tippett	PHI	24	F	78	28	25	53	12	-5	16:35	13:53	2:39	0:01	23	5	0	4	1	22	3	0	5	1	45	8	0	9	2	15.1%	1.299	1.159	2.458	1.273	1.218	2.491	1.443	0.866	2.309	0.359	0.321	0.679	289	9.7%	148	47	19	26	42.22%
122	CA	Teuvo Teräväinen	CAR	29	F	76	25	28	53	10	15	16:24	12:30	2:11	1:42	15	9	1	4	0	17	8	3	8	1	32	17	4	12	1	32.1%	1.203	1.348	2.551	0.947	1.073	2.020	3.243	2.883	6.126	0.329	0.368	0.697	142	17.6%	16	26	66	74	47.14%
123	CA	Martin Necas	CAR	24	F	77	24	29	53	42	-9	17:21	15:07	2:07	0:06	16	8	0	3	2	24	5	0	5	2	40	13	0	8	4	24.5%	1.077	1.302	2.379	0.824	1.237	2.061	2.936	1.835	4.771	0.312	0.377	0.688	231	10.4%	77	31	47	91	34.06%
124	CA	Mason Marchment	DAL	28	F	81	22	31	53	54	22	15:03	13:37	1:24	0:01	16	6	0	3	0	26	5	0	5	0	42	11	0	8	0	20.8%	1.082	1.525	2.607	0.870	1.414	2.284	3.138	2.615	5.752	0.272	0.383	0.654	150	14.7%	108	34	4	5	44.44%
125	CA	Mark Stone	VGK	31	F	56	16	37	53	22	1	19:24	14:05	3:43	1:35	10	4	2	5	1	25	10	2	5	1	35	14	4	10	2	26.4%	0.883	2.043	2.926	0.760	1.901	2.661	1.150	2.875	4.025	0.286	0.661	0.946	117	13.7%	35	40	0	4	0.00%
126	CA	Timo Meier	NJD	27	F	69	28	24	52	45	-28	17:36	15:13	2:21	0:00	18	10	0	4	1	17	7	0	5	1	35	17	0	9	2	32.7%	1.383	1.186	2.569	1.028	0.970	1.998	3.685	2.580	6.265	0.406	0.348	0.754	207	13.5%	111	42	44	46	48.89%
127	CA	Tyler Seguin	DAL	31	F	68	25	27	52	26	10	16:32	13:42	1:45	1:04	22	3	0	3	0	20	5	2	9	1	42	8	2	12	1	15.4%	1.333	1.440	2.773	1.417	1.288	2.704	1.502	2.503	4.005	0.368	0.397	0.765	154	16.2%	61	22	342	266	56.25%
128	CA	Mackenzie Weegar	CGY	29	D	82	20	32	52	51	2	22:55	18:49	1:55	2:11	17	3	0	2	1	18	12	2	2	0	35	15	2	4	1	28.8%	0.638	1.021	1.659	0.661	0.700	1.361	1.141	4.563	5.704	0.244	0.390	0.634	208	9.6%	194	200	0	0	0.00%
129	CA	Andrei Svechnikov	CAR	23	F	59	19	33	52	58	13	16:58	14:28	2:29	0:01	14	5	0	8	0	21	12	0	5	0	35	17	0	13	0	32.7%	1.138	1.976	3.114	0.984	1.476	2.460	2.041	4.899	6.940	0.322	0.559	0.881	144	13.2%	142	22	4	4	50.00%
130	CA	Jonathan Huberdeau	CGY	30	F	81	12	40	52	49	-29	17:25	14:39	2:43	0:02	8	4	0	2	0	25	15	0	7	3	33	19	0	9	3	36.5%	0.510	1.701	2.211	0.404	1.263	1.667	1.089	4.085	5.175	0.148	0.494	0.642	143	8.4%	60	37	15	16	48.39%
131	CA	John Carlson	WSH	33	D	82	10	42	52	40	-7	25:53	19:46	3:21	2:45	4	6	0	5	0	27	15	0	10	4	31	21	0	15	4	40.4%	0.283	1.187	1.470	0.148	0.999	1.147	1.307	3.268	4.575	0.122	0.512	0.634	176	5.7%	69	194	0	0	0.00%
132	CA	Adam Henrique	EDM	33	F	82	24	27	51	37	9	16:50	12:51	1:52	2:07	17	5	2	4	0	19	5	3	3	0	36	10	5	7	0	19.6%	1.042	1.173	2.215	0.968	1.081	2.049	1.952	1.952	3.905	0.293	0.329	0.622	140	17.1%	99	78	577	506	53.28%
133	CA	Chandler Stephenson	VGK	29	F	75	16	35	51	25	-9	18:29	14:00	2:52	1:35	10	4	2	4	0	25	9	1	4	0	35	13	3	8	0	25.5%	0.693	1.515	2.207	0.571	1.427	1.998	1.111	2.501	3.612	0.213	0.467	0.680	97	16.5%	43	40	552	498	52.57%
134	CA	Kristopher Letang	PIT	36	D	82	10	41	51	62	13	24:41	20:12	1:57	2:31	10	0	0	2	0	35	5	1	5	0	45	5	1	7	0	9.8%	0.296	1.215	1.512	0.362	1.268	1.630	0.000	1.870	1.870	0.122	0.500	0.622	164	6.1%	137	136	0	0	0.00%
135	CA	John Peterka	BUF	21	F	82	28	22	50	28	10	16:23	14:27	1:55	0:00	25	3	0	5	0	18	4	0	1	0	43	7	0	6	0	14.0%	1.250	0.982	2.232	1.265	0.911	2.176	1.141	1.522	2.663	0.341	0.268	0.610	226	12.4%	27	18	3	12	20.00%
136	CA	Joel Farabee	PHI	23	F	82	22	28	50	37	-13	16:11	13:51	2:17	0:03	20	2	0	2	1	23	5	0	2	0	43	7	0	4	1	14.0%	0.995	1.266	2.260	1.057	1.215	2.272	0.641	1.602	2.243	0.268	0.341	0.610	182	12.1%	67	50	30	50	37.50%
137	CA	Juraj Slafkovsky	MTL	19	F	82	20	30	50	55	-19	17:56	14:58	2:56	0:00	14	6	0	2	0	22	8	0	2	0	36	14	0	4	0	28.0%	0.816	1.224	2.040	0.684	1.075	1.759	1.490	1.986	3.476	0.244	0.366	0.610	152	13.2%	152	71	10	10	50.00%
138	CA	Drew Doughty	LAK	34	D	82	15	35	50	44	15	25:47	20:19	3:14	2:13	8	7	0	3	1	22	13	0	3	0	30	20	0	6	1	40.0%	0.426	0.993	1.418	0.288	0.792	1.080	1.580	2.934	4.514	0.183	0.427	0.610	135	11.1%	109	142	0	0	0.00%
139	CA	Devon Toews	COL	29	D	82	12	38	50	18	28	23:25	18:56	1:39	2:50	12	0	0	2	0	31	5	2	10	1	43	5	2	12	1	10.0%	0.375	1.187	1.562	0.464	1.198	1.662	0.000	2.208	2.208	0.146	0.463	0.610	159	7.6%	74	110	0	0	0.00%
140	CA	J.T. Compher	DET	28	F	77	19	29	48	34	-5	19:23	14:24	2:30	2:27	12	5	2	0	0	24	5	0	6	1	36	10	2	6	1	20.8%	0.764	1.166	1.929	0.649	1.298	1.947	1.550	1.550	3.099	0.247	0.377	0.623	108	17.6%	51	59	465	574	44.75%
141	CA	Filip Hronek	VAN	26	D	81	5	43	48	38	33	23:26	19:45	1:42	1:57	3	2	0	0	0	34	9	0	10	1	37	11	0	10	1	22.9%	0.158	1.359	1.517	0.112	1.274	1.387	0.866	3.895	4.761	0.062	0.531	0.593	148	3.4%	104	87	0	0	0.00%
142	CA	Patrick Kane	DET	35	F	50	20	27	47	16	-5	18:22	15:16	3:05	0:00	18	2	0	7	3	14	13	0	1	1	32	15	0	8	4	31.9%	1.306	1.763	3.069	1.414	1.099	2.513	0.777	5.051	5.828	0.400	0.540	0.940	147	13.6%	14	13	0	0	0.00%
143	CA	Conor Garland	VAN	27	F	82	20	27	47	35	19	14:32	12:50	1:41	0:00	19	1	0	3	0	23	4	0	5	0	42	5	0	8	0	10.6%	1.007	1.359	2.365	1.083	1.311	2.394	0.432	1.728	2.160	0.244	0.329	0.573	200	10.0%	53	34	2	8	20.00%
144	CA	Dylan Cozens	BUF	22	F	79	18	29	47	42	-4	17:13	13:30	2:07	1:35	13	2	3	1	1	21	8	0	1	0	34	10	3	2	1	21.3%	0.794	1.279	2.072	0.731	1.180	1.911	0.717	2.869	3.586	0.228	0.367	0.595	200	9.0%	107	27	522	624	45.55%
145	CA	David Perron	DET	35	F	76	17	30	47	55	-12	15:37	12:40	2:56	0:00	10	7	0	4	0	20	10	0	2	1	30	17	0	6	1	36.2%	0.859	1.515	2.374	0.623	1.245	1.868	1.876	2.680	4.556	0.224	0.395	0.618	151	11.3%	111	27	16	18	47.06%
146	CA	Phillip Danault	LAK	30	F	78	17	30	47	18	12	18:01	14:22	1:50	1:48	14	3	0	2	0	22	6	2	6	1	36	9	2	8	1	19.1%	0.726	1.281	2.006	0.749	1.177	1.927	1.250	2.499	3.749	0.218	0.385	0.603	159	10.7%	80	60	600	557	51.86%
147	CA	Thomas Harley	DAL	22	D	79	15	32	47	18	28	21:01	18:50	1:14	0:56	13	1	1	3	3	24	8	0	6	1	37	9	1	9	4	19.1%	0.542	1.156	1.698	0.524	0.968	1.492	0.616	4.926	5.542	0.190	0.405	0.595	144	10.4%	68	135	0	0	0.00%
148	CA	Brady Skjei	CAR	29	D	80	13	34	47	40	15	21:16	18:06	0:59	2:11	11	1	1	2	0	20	11	3	6	2	31	12	4	8	2	25.5%	0.458	1.198	1.657	0.456	0.829	1.284	0.762	8.386	9.149	0.163	0.425	0.588	185	7.0%	69	90	0	0	0.00%
149	CA	Noah Hanifin	VGK	26	D	80	13	34	47	24	19	23:36	19:23	1:51	2:22	8	5	0	2	0	24	8	2	5	0	32	13	2	7	0	27.7%	0.413	1.080	1.493	0.309	0.928	1.238	2.025	3.241	5.266	0.163	0.425	0.588	164	7.9%	63	121	0	0	0.00%
150	CA	Charlie McAvoy	BOS	26	D	74	12	35	47	86	4	24:50	19:23	3:14	2:13	11	1	0	3	2	23	12	0	5	0	34	13	0	8	2	27.7%	0.392	1.142	1.534	0.460	0.962	1.422	0.250	3.006	3.256	0.162	0.473	0.635	133	9.0%	159	159	0	0	0.00%
151	CA	Max Domi	TOR	28	F	80	9	38	47	118	10	13:47	12:29	1:17	0:00	8	1	0	1	0	37	1	0	5	0	45	2	0	6	0	4.3%	0.490	2.067	2.557	0.480	2.222	2.702	0.581	0.581	1.162	0.113	0.475	0.588	137	6.6%	53	22	226	226	50.00%
152	CA	Luke Hughes	NJD	20	D	82	9	38	47	28	-25	21:28	17:56	3:27	0:05	5	4	0	1	1	17	21	0	8	1	22	25	0	9	2	53.2%	0.307	1.295	1.602	0.204	0.694	0.898	0.848	4.454	5.302	0.110	0.463	0.573	135	6.7%	24	55	0	0	0.00%
153	CA	Brock Faber	MIN	21	D	82	8	39	47	26	-1	24:58	19:27	2:33	2:57	5	3	0	1	0	26	13	0	8	2	31	16	0	9	2	34.0%	0.234	1.143	1.377	0.188	0.978	1.166	0.857	3.713	4.570	0.098	0.476	0.573	136	5.9%	65	150	0	0	0.00%
154	CA	Jeff Skinner	BUF	31	F	74	24	22	46	34	-2	15:59	13:22	2:35	0:02	16	8	0	3	1	18	4	0	4	0	34	12	0	7	1	26.1%	1.217	1.115	2.332	0.970	1.092	2.062	2.511	1.255	3.766	0.324	0.297	0.622	211	11.4%	26	13	52	72	41.94%
155	CA	Nick Paul	TBL	28	F	82	24	22	46	27	-16	17:15	13:31	3:03	0:40	15	9	0	2	0	17	5	0	1	0	32	14	0	3	0	30.4%	1.017	0.933	1.950	0.812	0.920	1.731	2.155	1.197	3.352	0.293	0.268	0.561	153	15.7%	104	42	531	447	54.29%
156	CA	Andrei Kuzmenko	CGY	27	F	72	22	24	46	12	-9	14:53	11:44	3:08	0:00	14	8	0	4	1	13	11	0	4	0	27	19	0	8	1	41.3%	1.232	1.344	2.575	0.993	0.922	1.915	2.126	2.923	5.049	0.306	0.333	0.639	121	18.2%	14	17	1	0	100.00%
157	CA	Brayden Schenn	STL	32	F	82	20	26	46	56	-22	17:46	14:23	2:32	0:51	15	4	1	3	2	18	8	0	5	1	33	12	1	8	3	26.1%	0.823	1.070	1.893	0.763	0.916	1.679	1.155	2.311	3.466	0.244	0.317	0.561	170	11.8%	169	51	454	466	49.35%
158	CA	Vince Dunn	SEA	27	D	59	11	35	46	78	8	23:05	20:03	2:49	0:11	7	4	0	0	0	22	12	1	6	2	29	16	1	6	2	34.8%	0.485	1.542	2.026	0.355	1.115	1.470	1.436	4.308	5.744	0.186	0.593	0.780	120	9.2%	39	64	0	0	0.00%
159	CA	Nick Bjugstad	ARI	31	F	76	22	23	45	59	11	17:26	13:40	1:37	2:09	19	2	1	2	1	19	4	0	2	0	38	6	1	4	1	13.3%	0.996	1.041	2.037	1.097	1.097	2.195	0.971	1.943	2.914	0.289	0.303	0.592	165	13.3%	118	48	617	636	49.24%
160	CA	Ryan Hartman	MIN	29	F	74	21	24	45	72	4	16:31	13:38	1:49	1:03	16	5	0	3	0	19	5	0	2	0	35	10	0	5	0	22.2%	1.031	1.178	2.209	0.951	1.130	2.081	2.215	2.215	4.430	0.284	0.324	0.608	173	12.1%	75	65	371	419	46.96%
161	CA	Anthony Cirelli	TBL	26	F	79	20	25	45	38	2	18:31	14:55	1:25	2:10	15	3	2	3	1	21	4	0	3	0	36	7	2	6	1	15.6%	0.820	1.025	1.846	0.764	1.069	1.833	1.599	2.131	3.730	0.253	0.316	0.570	129	15.5%	64	75	460	475	49.20%
162	CA	Ivan Barbashev	VGK	28	F	82	19	26	45	42	15	16:06	14:14	1:51	0:01	16	3	0	3	0	24	2	0	5	0	40	5	0	8	0	11.1%	0.863	1.181	2.043	0.822	1.233	2.056	1.182	0.788	1.970	0.232	0.317	0.549	122	15.6%	180	44	37	50	42.53%
163	CA	Thomas Novak	NSH	26	F	71	18	27	45	8	-3	14:12	12:07	2:03	0:01	12	6	0	1	0	21	6	0	7	2	33	12	0	8	2	26.7%	1.071	1.607	2.678	0.836	1.464	2.300	2.470	2.470	4.939	0.254	0.380	0.634	113	15.9%	5	31	211	289	42.20%
164	CA	William Eklund	SJS	21	F	80	16	29	45	30	-45	18:39	15:06	2:41	0:51	8	8	0	5	2	20	8	1	4	0	28	16	1	9	2	35.6%	0.643	1.165	1.808	0.397	0.993	1.390	2.226	2.226	4.451	0.200	0.363	0.563	128	12.5%	39	72	72	158	31.30%
165	CA	Alexander Kerfoot	ARI	29	F	81	13	32	45	26	-15	17:28	13:00	1:50	2:37	9	2	2	3	0	21	10	1	7	0	30	12	3	10	0	26.7%	0.551	1.356	1.907	0.512	1.195	1.708	0.805	4.025	4.830	0.160	0.395	0.556	103	12.6%	72	75	410	448	47.79%
166	CA	Mattias Ekholm	EDM	33	D	79	11	34	45	47	44	21:02	18:08	0:52	2:02	8	2	1	3	0	33	1	0	3	1	41	3	1	6	1	6.7%	0.397	1.227	1.624	0.335	1.382	1.717	1.744	0.872	2.616	0.139	0.430	0.570	177	6.2%	136	93	0	0	0.00%
167	CA	Evander Kane	EDM	32	F	77	24	20	44	85	-4	16:46	15:07	1:23	0:16	21	2	1	3	1	15	5	0	1	0	36	7	1	4	1	15.9%	1.115	0.929	2.044	1.082	0.773	1.855	1.124	2.811	3.936	0.312	0.260	0.571	220	10.9%	250	29	35	38	47.95%
168	CA	Fabian Zetterlund	SJS	24	F	82	24	20	44	33	-34	18:51	15:40	2:28	0:42	17	6	1	0	0	10	10	0	2	1	27	16	1	2	1	36.4%	0.931	0.776	1.707	0.794	0.467	1.260	1.772	2.953	4.725	0.293	0.244	0.537	204	11.8%	120	71	28	57	32.94%
169	CA	Anthony Mantha	VGK	29	F	74	23	21	44	25	11	14:13	12:34	1:38	0:00	20	3	0	0	0	16	5	0	6	0	36	8	0	6	0	18.2%	1.311	1.197	2.508	1.290	1.032	2.321	1.479	2.466	3.945	0.311	0.284	0.595	113	20.4%	55	31	3	8	27.27%
170	CA	Logan Cooley	ARI	19	F	82	20	24	44	18	-13	15:48	13:22	2:03	0:22	16	3	1	2	1	14	10	0	4	1	30	13	1	6	2	29.5%	0.925	1.110	2.036	0.876	0.766	1.642	1.062	3.541	4.603	0.244	0.293	0.537	151	13.3%	50	27	262	427	38.03%
171	CA	Jordan Eberle	SEA	33	F	78	17	27	44	17	1	17:26	14:47	2:37	0:01	11	6	0	3	1	21	6	0	6	0	32	12	0	9	1	27.3%	0.750	1.191	1.940	0.572	1.092	1.664	1.755	1.755	3.510	0.218	0.346	0.564	168	10.1%	30	23	31	42	42.47%
172	CA	Elias Lindholm	VAN	29	F	75	15	29	44	25	-14	19:41	14:31	2:52	2:17	8	6	1	4	0	21	6	2	6	1	29	12	3	10	1	27.3%	0.609	1.178	1.787	0.441	1.157	1.598	1.667	1.667	3.335	0.200	0.387	0.587	173	8.7%	89	61	753	583	56.36%
173	CA	Travis Sanheim	PHI	27	D	81	10	34	44	48	-20	23:48	19:34	1:31	2:41	9	0	1	3	0	26	5	3	3	1	35	5	4	6	1	11.4%	0.311	1.058	1.369	0.341	0.984	1.324	0.000	2.421	2.421	0.123	0.420	0.543	146	6.9%	95	149	0	0	0.00%
174	CA	Tyler Bertuzzi	TOR	28	F	80	21	22	43	53	2	16:02	14:24	1:37	0:00	16	5	0	2	0	21	1	0	8	0	37	6	0	10	0	14.0%	0.982	1.028	2.010	0.833	1.093	1.926	2.301	0.460	2.762	0.263	0.275	0.538	160	13.1%	98	44	4	9	30.77%
175	CA	Daniel Sprong	DET	26	F	76	18	25	43	22	-5	12:00	10:11	1:48	0:00	15	3	0	1	0	16	9	0	1	0	31	12	0	2	0	27.9%	1.184	1.645	2.829	1.162	1.240	2.402	1.314	3.941	5.255	0.237	0.329	0.566	160	11.3%	32	15	8	4	66.67%
176	CA	Brent Burns	CAR	38	D	82	10	33	43	20	19	21:30	16:34	2:37	2:18	5	4	1	0	0	17	16	0	11	1	22	20	1	11	1	46.5%	0.340	1.123	1.463	0.221	0.751	0.971	1.113	4.453	5.567	0.122	0.402	0.524	185	5.4%	41	87	0	0	0.00%
177	CA	Brandon Saad	STL	31	F	82	26	16	42	20	-4	15:30	13:25	1:40	0:25	21	5	0	7	2	16	0	0	2	0	37	5	0	9	2	11.9%	1.227	0.755	1.982	1.145	0.872	2.018	2.194	0.000	2.194	0.317	0.195	0.512	144	18.1%	17	16	12	16	42.86%
178	CA	Anthony Duclair	TBL	28	F	73	24	18	42	34	-8	15:46	13:57	1:44	0:04	19	5	0	1	0	11	7	0	3	0	30	12	0	4	0	28.6%	1.251	0.938	2.188	1.119	0.648	1.767	2.363	3.308	5.671	0.329	0.247	0.575	129	18.6%	49	35	17	29	36.96%
179	CA	Kirill Marchenko	CBJ	23	F	78	23	19	42	14	-5	16:24	13:53	2:26	0:04	14	9	0	1	0	15	4	0	1	0	29	13	0	2	0	31.0%	1.078	0.890	1.968	0.775	0.831	1.606	2.828	1.257	4.085	0.295	0.244	0.538	193	11.9%	55	39	26	53	32.91%
180	CA	Lawson Crouse	ARI	26	F	81	23	19	42	36	-7	16:49	13:06	1:34	2:08	16	7	0	2	0	15	3	1	1	0	31	10	1	3	0	23.8%	1.013	0.837	1.850	0.905	0.848	1.753	3.299	1.414	4.713	0.284	0.235	0.519	171	13.5%	175	57	28	62	31.11%
181	CA	Mason McTavish	ANA	20	F	64	19	23	42	86	-23	16:16	13:57	2:16	0:02	14	4	1	3	1	18	4	1	5	1	32	8	2	8	2	19.0%	1.094	1.325	2.419	0.941	1.210	2.150	1.646	1.646	3.293	0.297	0.359	0.656	130	14.6%	67	33	437	408	51.72%
182	CA	Moritz Seider	DET	22	D	82	9	33	42	51	-7	22:21	17:32	2:15	2:33	6	3	0	0	0	18	14	1	6	1	24	17	1	6	1	40.5%	0.295	1.080	1.374	0.250	0.751	1.001	0.969	4.522	5.491	0.110	0.402	0.512	135	6.7%	211	213	0	0	0.00%
183	CA	Shea Theodore	VGK	28	D	47	5	37	42	6	4	22:05	18:40	3:17	0:06	3	2	0	1	0	24	13	0	4	1	27	15	0	5	1	35.7%	0.289	2.138	2.427	0.205	1.640	1.846	0.774	5.033	5.808	0.106	0.787	0.894	105	4.8%	9	78	0	0	0.00%
184	CA	Sam Bennett	FLA	27	F	69	20	21	41	100	17	16:36	14:09	1:59	0:26	15	5	0	2	0	14	7	0	5	1	29	12	0	7	1	29.3%	1.047	1.099	2.146	0.921	0.860	1.781	2.174	3.044	5.219	0.290	0.304	0.594	171	11.7%	173	43	390	468	45.45%
185	CA	Warren Foegele	EDM	27	F	82	20	21	41	47	3	13:58	12:33	0:32	0:52	18	1	1	2	0	20	0	1	5	0	38	1	2	7	0	2.4%	1.047	1.099	2.147	1.049	1.165	2.214	1.360	0.000	1.360	0.244	0.256	0.500	201	10.0%	89	32	5	6	45.45%
186	CA	Eeli Tolvanen	SEA	24	F	81	16	25	41	24	-15	15:38	13:09	2:22	0:05	15	1	0	3	0	16	9	0	2	0	31	10	0	5	0	24.4%	0.758	1.184	1.942	0.844	0.900	1.745	0.311	2.799	3.110	0.198	0.309	0.506	153	10.5%	210	75	12	23	34.29%
187	CA	Jakob Chychrun	OTT	25	D	82	14	27	41	60	-30	22:23	19:29	2:40	0:13	7	7	0	2	0	18	9	0	4	0	25	16	0	6	0	39.0%	0.458	0.882	1.340	0.263	0.676	0.939	1.911	2.457	4.368	0.171	0.329	0.500	204	6.9%	72	154	0	0	0.00%
188	CA	Nicolas Roy	VGK	26	F	70	13	28	41	29	8	15:27	12:27	1:37	1:21	11	1	1	2	0	22	6	0	4	0	33	7	1	6	0	17.1%	0.721	1.553	2.274	0.757	1.514	2.270	0.525	3.152	3.677	0.186	0.400	0.586	112	11.6%	77	35	359	408	46.81%
189	CA	Morgan Frost	PHI	24	F	71	13	28	41	22	4	15:49	13:11	2:36	0:01	10	3	0	1	0	20	8	0	3	0	30	11	0	4	0	26.8%	0.694	1.495	2.189	0.641	1.282	1.922	0.971	2.589	3.560	0.183	0.394	0.577	135	9.6%	58	55	407	416	49.45%
190	CA	Ryan Strome	ANA	30	F	79	11	30	41	86	-20	15:47	13:15	2:24	0:07	9	2	0	0	0	17	13	0	5	0	26	15	0	5	0	36.6%	0.529	1.442	1.971	0.516	0.974	1.490	0.629	4.086	4.715	0.139	0.380	0.519	131	8.4%	64	21	224	262	46.09%
