Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
1	CA	Connor McDavid	EDM	26	F	25	8	34	42	10	12	23:01	18:53	4:03	0:04	6	2	0	1	1	19	15	0	6	1	25	17	0	7	2	40.5%	0.834	3.543	4.377	0.762	2.413	3.175	1.184	8.883	10.067	0.320	1.360	1.680	75	10.7%	43	16	145	194	42.77%
2	CA	Evan Bouchard	EDM	24	D	25	6	26	32	22	14	25:01	20:41	4:06	0:12	5	1	0	3	1	13	13	0	7	1	18	14	0	10	2	43.8%	0.576	2.494	3.070	0.580	1.507	2.087	0.583	7.584	8.167	0.240	1.040	1.280	74	8.1%	28	45	0	0	0.00%
3	DE	Leon Draisaitl	EDM	28	F	25	10	21	31	14	0	21:23	17:14	4:03	0:05	4	6	0	2	0	12	9	0	5	1	16	15	0	7	1	48.4%	1.122	2.356	3.478	0.557	1.671	2.228	3.546	5.318	8.864	0.400	0.840	1.240	73	13.7%	23	16	240	243	49.69%
4	CA	Zach Hyman	EDM	31	F	25	16	6	22	12	12	21:24	17:21	4:01	0:01	10	6	0	3	0	6	0	0	0	0	16	6	0	3	0	27.3%	1.793	0.673	2.466	1.382	0.829	2.212	3.572	0.000	3.572	0.640	0.240	0.880	90	17.8%	53	11	1	0	100.00%
5	FI	Aleksander Barkov	FLA	28	F	24	8	14	22	8	-1	21:14	15:32	3:34	2:07	6	1	1	4	0	7	6	1	3	1	13	7	2	7	1	31.8%	0.941	1.647	2.589	0.965	1.126	2.090	0.701	4.203	4.904	0.333	0.583	0.917	61	13.1%	52	25	228	185	55.21%
6	CA	Ryan Nugent-Hopkins	EDM	30	F	25	7	15	22	8	-2	20:19	14:09	3:59	2:09	2	5	0	2	0	10	5	0	3	1	12	10	0	5	1	45.5%	0.827	1.772	2.599	0.339	1.695	2.034	3.007	3.007	6.013	0.280	0.600	0.880	37	18.9%	43	15	42	58	42.00%
7	US	Matthew Tkachuk	FLA	26	F	24	6	16	22	31	0	18:29	14:14	3:59	0:15	6	0	0	2	0	10	6	0	2	0	16	6	0	4	0	27.3%	0.811	2.163	2.974	1.053	1.755	2.809	0.000	3.761	3.761	0.250	0.667	0.917	83	7.2%	72	10	0	2	0.00%
8	CA	Carter Verhaeghe	FLA	28	F	24	11	10	21	20	-5	19:20	15:34	3:44	0:01	7	4	0	3	1	9	1	0	2	0	16	5	0	5	1	23.8%	1.422	1.293	2.715	1.124	1.445	2.569	2.670	0.668	3.338	0.458	0.417	0.875	79	13.9%	27	14	15	29	34.09%
9	US	Vincent Trocheck	NYR	30	F	16	8	12	20	10	3	23:08	16:46	3:35	2:46	3	5	0	1	1	6	4	2	4	2	9	9	2	5	3	45.0%	1.297	1.945	3.241	0.671	1.341	2.012	5.230	4.184	9.413	0.500	0.750	1.250	43	18.6%	64	16	193	141	57.78%
10	FI	Anton Lundell	FLA	22	F	24	3	14	17	12	8	16:12	13:28	1:46	0:57	3	0	0	0	0	11	3	0	3	1	14	3	0	3	1	17.6%	0.463	2.160	2.622	0.557	2.041	2.597	0.000	4.234	4.234	0.125	0.583	0.708	29	10.3%	44	17	160	146	52.29%
11	CA	Wyatt Johnston	DAL	20	F	19	10	6	16	2	4	20:37	17:13	2:08	1:15	7	2	1	2	1	5	1	0	0	0	12	3	1	2	1	18.8%	1.531	0.918	2.449	1.283	0.917	2.200	2.951	1.475	4.426	0.526	0.316	0.842	57	17.5%	26	14	95	111	46.12%
12	CA	Sam Reinhart	FLA	28	F	24	10	6	16	12	-2	21:37	16:01	3:32	2:02	6	4	0	2	1	4	1	1	3	0	10	5	1	5	1	31.3%	1.156	0.694	1.850	0.936	0.624	1.560	2.823	0.706	3.529	0.417	0.250	0.667	78	12.8%	54	34	81	95	46.02%
13	FI	Miro Heiskanen	DAL	24	D	19	6	10	16	8	0	28:11	24:56	2:54	0:20	3	3	0	0	0	6	4	0	2	0	9	7	0	2	0	43.8%	0.672	1.120	1.793	0.380	0.760	1.140	3.263	4.350	7.613	0.316	0.526	0.842	44	13.6%	26	42	0	0	0.00%
14	US	Jason Robertson	DAL	24	F	19	6	10	16	0	-2	19:44	17:03	2:40	0:00	4	2	0	2	0	6	4	0	2	1	10	6	0	4	1	37.5%	0.960	1.600	2.560	0.741	1.111	1.851	2.357	4.714	7.070	0.316	0.526	0.842	46	13.0%	26	20	0	0	0.00%
15	SE	Mika Zibanejad	NYR	30	F	16	3	13	16	2	1	21:17	15:32	3:33	2:11	1	2	0	0	0	5	5	3	3	1	6	7	3	3	1	43.8%	0.528	2.289	2.817	0.241	1.207	1.448	2.104	5.260	7.364	0.188	0.813	1.000	40	7.5%	12	13	140	128	52.24%
16	CA	Evan Rodrigues	FLA	30	F	24	7	8	15	4	6	14:42	12:41	2:00	0:00	5	2	0	1	0	7	1	0	1	0	12	3	0	2	0	20.0%	1.190	1.360	2.550	0.985	1.380	2.365	2.482	1.241	3.723	0.292	0.333	0.625	44	15.9%	54	10	54	44	55.10%
17	CA	Cale Makar	COL	25	D	11	5	10	15	0	-3	26:58	21:50	2:58	2:09	2	3	0	1	0	5	5	0	1	0	7	8	0	2	0	53.3%	1.011	2.022	3.033	0.500	1.249	1.748	5.502	9.170	14.671	0.455	0.909	1.364	36	13.9%	6	23	0	0	0.00%
18	RU	Artemi Panarin	NYR	32	F	16	5	10	15	4	-2	20:41	16:58	3:41	0:00	4	1	0	4	1	5	5	0	1	1	9	6	0	5	2	40.0%	0.907	1.813	2.720	0.883	1.104	1.987	1.015	5.075	6.090	0.313	0.625	0.938	44	11.4%	11	6	0	0	0.00%
19	CA	Jamie Benn	DAL	34	F	19	4	11	15	6	5	17:08	14:12	2:19	0:35	3	1	0	0	0	8	3	0	1	0	11	4	0	1	0	26.7%	0.737	2.027	2.765	0.666	1.777	2.444	1.355	4.066	5.422	0.211	0.579	0.789	36	11.1%	51	11	117	72	61.90%
20	CA	Alexis Lafrenière	NYR	22	F	16	8	6	14	6	2	16:40	15:22	1:17	0:00	8	0	0	0	0	3	3	0	3	1	11	3	0	3	1	21.4%	1.799	1.349	3.148	1.952	0.732	2.683	0.000	8.710	8.710	0.500	0.375	0.875	43	18.6%	41	6	4	6	40.00%
21	CA	Sam Bennett	FLA	27	F	19	7	7	14	12	-1	16:03	13:43	2:05	0:14	6	1	0	1	0	4	3	0	0	0	10	4	0	1	0	28.6%	1.376	1.376	2.753	1.380	0.920	2.300	1.508	4.523	6.030	0.368	0.368	0.737	38	18.4%	87	5	54	51	51.43%
22	FI	Mikko Rantanen	COL	27	F	11	4	10	14	8	-1	24:03	20:43	3:17	0:02	3	1	0	1	0	6	4	0	1	0	9	5	0	2	0	35.7%	0.907	2.267	3.174	0.790	1.579	2.369	1.655	6.621	8.276	0.364	0.909	1.273	32	12.5%	21	13	51	48	51.52%
23	CA	Nathan MacKinnon	COL	28	F	11	4	10	14	4	-1	24:36	21:17	3:16	0:02	3	1	0	0	0	4	6	0	3	0	7	7	0	3	0	50.0%	0.887	2.216	3.103	0.769	1.025	1.794	1.666	9.995	11.661	0.364	0.909	1.273	46	8.7%	8	13	90	107	45.69%
24	CA	Tyler Seguin	DAL	31	F	19	5	8	13	2	9	17:12	14:34	1:45	0:52	4	0	1	2	0	6	2	0	1	0	10	2	1	3	0	15.4%	0.917	1.468	2.385	0.866	1.299	2.166	0.000	3.600	3.600	0.263	0.421	0.684	59	8.5%	32	6	117	91	56.25%
25	SE	Gustav Forsling	FLA	27	D	24	4	9	13	12	9	23:25	19:57	0:16	3:11	4	0	0	1	0	8	0	1	3	0	12	0	1	4	0	0.0%	0.427	0.961	1.388	0.501	1.002	1.503	0.000	0.000	0.000	0.167	0.375	0.542	51	7.8%	44	30	0	0	0.00%
26	US	Chris Kreider	NYR	32	F	16	8	4	12	6	-3	19:50	14:20	3:40	1:49	4	2	2	1	0	1	2	1	1	0	5	4	3	2	0	33.3%	1.512	0.756	2.268	1.046	0.262	1.308	2.038	2.038	4.076	0.500	0.250	0.750	39	20.5%	41	5	1	7	12.50%
27	US	Brock Boeser	VAN	26	F	12	7	5	12	8	2	20:18	16:44	3:33	0:01	6	1	0	1	0	4	1	0	1	0	10	2	0	2	0	16.7%	1.724	1.231	2.955	1.793	1.195	2.988	1.408	1.408	2.816	0.583	0.417	1.000	27	25.9%	7	8	1	1	50.00%
28	FI	Sebastian Aho	CAR	26	F	11	4	8	12	2	1	21:55	17:28	2:52	1:33	4	0	0	1	0	7	1	0	0	0	11	1	0	1	0	8.3%	0.995	1.991	2.986	1.248	2.184	3.432	0.000	1.893	1.893	0.364	0.727	1.091	30	13.3%	21	7	84	100	45.65%
29	US	J.T. Miller	VAN	30	F	13	3	9	12	8	5	21:26	17:09	3:47	0:29	2	1	0	1	0	6	3	0	2	0	8	4	0	3	0	33.3%	0.646	1.937	2.583	0.538	1.613	2.151	1.218	3.655	4.873	0.231	0.692	0.923	29	10.3%	42	8	150	106	58.59%
30	FI	Artturi Lehkonen	COL	28	F	11	6	5	11	4	-2	22:11	17:26	3:09	1:35	4	2	0	0	0	4	1	0	0	0	8	3	0	0	0	27.3%	1.475	1.229	2.705	1.251	1.251	2.503	3.453	1.727	5.180	0.545	0.455	1.000	34	17.7%	28	8	3	1	75.00%
31	CA	Jake DeBrusk	BOS	27	F	13	5	6	11	2	-5	18:00	13:53	1:58	2:08	2	3	0	0	0	4	2	0	1	0	6	5	0	1	0	45.5%	1.281	1.538	2.819	0.664	1.329	1.993	7.013	4.675	11.688	0.385	0.462	0.846	26	19.2%	53	16	0	2	0.00%
32	CA	Brandon Montour	FLA	29	D	24	3	8	11	12	0	22:39	18:31	3:54	0:13	1	1	1	0	0	6	2	0	1	1	7	3	1	1	1	27.3%	0.331	0.883	1.213	0.135	0.809	0.944	0.640	1.280	1.919	0.125	0.333	0.458	48	6.3%	48	36	0	0	0.00%
33	RU	Andrei Svechnikov	CAR	23	F	11	2	9	11	16	0	18:43	16:20	2:21	0:01	1	1	0	0	0	7	2	0	2	0	8	3	0	2	0	27.3%	0.582	2.621	3.204	0.334	2.336	2.670	2.312	4.624	6.936	0.182	0.818	1.000	28	7.1%	32	10	0	0	0.00%
34	RU	Valeri Nichushkin	COL	28	F	8	9	1	10	2	1	22:30	17:27	3:37	1:25	5	4	0	2	0	0	1	0	0	0	5	5	0	2	0	50.0%	2.999	0.333	3.332	2.148	0.000	2.148	8.266	2.067	10.333	1.125	0.125	1.250	24	37.5%	21	9	0	1	0.00%
35	SE	Elias Lindholm	VAN	29	F	13	5	5	10	4	4	19:12	14:05	2:39	2:27	3	2	0	2	1	5	0	0	1	0	8	2	0	3	1	20.0%	1.201	1.201	2.403	0.982	1.637	2.620	3.465	0.000	3.465	0.385	0.385	0.769	25	20.0%	36	16	131	125	51.17%
36	SE	Mattias Ekholm	EDM	33	D	25	5	5	10	6	9	21:57	18:53	0:19	2:45	4	1	0	0	0	5	0	0	2	0	9	1	0	2	0	10.0%	0.546	0.546	1.093	0.508	0.635	1.143	7.547	0.000	7.547	0.200	0.200	0.400	45	11.1%	28	47	0	0	0.00%
37	CA	Brad Marchand	BOS	35	F	11	3	7	10	16	3	18:15	13:58	2:02	2:14	1	2	0	2	0	3	4	0	0	0	4	6	0	2	0	60.0%	0.896	2.092	2.988	0.390	1.171	1.561	5.361	10.722	16.083	0.273	0.636	0.909	20	15.0%	28	9	4	4	50.00%
