Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
38	US	Quinn Hughes	VAN	24	D	13	0	10	10	6	1	24:25	20:26	3:53	0:06	0	0	0	0	0	5	5	0	3	0	5	5	0	3	0	50.0%	0.000	1.890	1.890	0.000	1.129	1.129	0.000	5.943	5.943	0.000	0.769	0.769	21	0.0%	4	14	0	0	0.00%
39	CA	Seth Jarvis	CAR	21	F	11	5	4	9	0	2	20:34	15:48	2:49	1:56	3	2	0	0	0	2	2	0	0	0	5	4	0	0	0	44.4%	1.325	1.060	2.386	1.036	0.690	1.726	3.854	3.854	7.709	0.455	0.364	0.818	25	20.0%	27	11	11	17	39.29%
40	RU	Vladimir Tarasenko	FLA	32	F	24	5	4	9	2	4	13:22	11:32	1:49	0:00	3	2	0	1	0	4	0	0	1	0	7	2	0	2	0	22.2%	0.935	0.748	1.683	0.650	0.867	1.517	2.730	0.000	2.730	0.208	0.167	0.375	47	10.6%	46	19	0	0	0.00%
41	US	Jake Guentzel	CAR	29	F	11	4	5	9	16	4	19:57	17:00	2:56	0:01	4	0	0	0	0	3	2	0	0	0	7	2	0	0	0	22.2%	1.093	1.366	2.459	1.283	0.963	2.246	0.000	3.713	3.713	0.364	0.455	0.818	28	14.3%	8	11	6	6	50.00%
42	CZ	Martin Necas	CAR	24	F	11	4	5	9	0	0	17:32	15:30	2:00	0:00	4	0	0	0	0	3	2	0	1	0	7	2	0	1	0	22.2%	1.244	1.555	2.799	1.406	1.055	2.461	0.000	5.414	5.414	0.364	0.455	0.818	24	16.7%	13	3	2	5	28.57%
43	US	Casey Mittelstadt	COL	25	F	11	3	6	9	2	0	17:24	16:39	0:45	0:00	3	0	0	0	0	6	0	0	0	0	9	0	0	0	0	0.0%	0.940	1.879	2.819	0.983	1.965	2.948	0.000	0.000	0.000	0.273	0.545	0.818	24	12.5%	16	6	65	81	44.52%
44	US	Brady Skjei	CAR	29	D	11	1	8	9	6	5	21:21	18:00	1:45	1:35	0	1	0	1	0	7	1	0	3	0	7	2	0	4	0	22.2%	0.255	2.043	2.299	0.000	2.120	2.120	3.114	3.114	6.228	0.091	0.727	0.818	24	4.2%	18	14	0	0	0.00%
45	CA	Barclay Goodrow	NYR	30	F	16	6	2	8	12	3	13:09	10:23	0:01	2:43	4	0	2	2	1	2	0	0	0	0	6	0	2	2	1	0.0%	1.710	0.570	2.281	1.443	0.721	2.164	0.000	0.000	0.000	0.375	0.125	0.500	15	40.0%	41	29	64	84	43.24%
46	RU	Nikita Zadorov	VAN	28	D	13	4	4	8	26	3	20:09	17:42	0:18	2:08	4	0	0	0	0	4	0	0	1	0	8	0	0	1	0	0.0%	0.916	0.916	1.832	1.043	1.043	2.085	0.000	0.000	0.000	0.308	0.308	0.615	21	19.1%	45	18	0	0	0.00%
47	CZ	David Pastrnak	BOS	27	F	13	4	4	8	25	0	19:39	16:37	2:55	0:05	3	1	0	1	1	3	1	0	0	0	6	2	0	1	1	25.0%	0.939	0.939	1.879	0.832	0.832	1.665	1.575	1.575	3.151	0.308	0.308	0.615	41	9.8%	26	9	6	5	54.55%
48	US	Dakota Joshua	VAN	27	F	13	4	4	8	10	1	15:49	13:13	1:01	1:34	4	0	0	1	0	4	0	0	2	1	8	0	0	3	1	0.0%	1.167	1.167	2.333	1.397	1.397	2.793	0.000	0.000	0.000	0.308	0.308	0.615	9	44.4%	74	7	4	4	50.00%
49	CA	Evander Kane	EDM	32	F	20	4	4	8	37	-7	14:57	14:22	0:35	0:00	4	0	0	0	0	3	1	0	2	0	7	1	0	2	0	12.5%	0.802	0.802	1.605	0.835	0.626	1.461	0.000	5.128	5.128	0.200	0.200	0.400	44	9.1%	64	6	6	10	37.50%
50	SE	Mattias Janmark-Nylén	EDM	31	F	25	4	4	8	12	6	11:56	9:54	0:02	1:59	2	0	2	1	0	4	0	0	2	0	6	0	2	3	0	0.0%	0.804	0.804	1.608	0.484	0.969	1.453	0.000	0.000	0.000	0.160	0.160	0.320	22	18.2%	23	6	0	4	0.00%
51	CA	Logan Stankoven	DAL	20	F	19	3	5	8	2	6	16:01	14:53	1:07	0:00	3	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0.0%	0.591	0.986	1.577	0.636	1.060	1.697	0.000	0.000	0.000	0.158	0.263	0.421	36	8.3%	24	18	7	6	53.85%
52	CA	Warren Foegele	EDM	27	F	22	3	5	8	25	-7	12:01	10:32	0:17	1:11	3	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0.0%	0.680	1.134	1.814	0.776	1.294	2.070	0.000	0.000	0.000	0.136	0.227	0.364	36	8.3%	36	8	0	2	0.00%
53	FI	Roope Hintz	DAL	27	F	15	2	6	8	6	0	17:19	14:15	2:08	0:55	2	0	0	0	0	4	2	0	0	0	6	2	0	0	0	25.0%	0.462	1.385	1.847	0.561	1.122	1.683	0.000	3.736	3.736	0.133	0.400	0.533	17	11.8%	20	10	66	51	56.41%
54	US	Jack Roslovic	NYR	26	F	16	2	6	8	6	0	13:51	12:43	1:07	0:01	0	2	0	0	0	6	0	0	2	1	6	2	0	2	1	25.0%	0.541	1.624	2.165	0.000	1.769	1.769	6.691	0.000	6.691	0.125	0.375	0.500	21	9.5%	10	8	6	11	35.29%
55	FI	Eetu Luostarinen	FLA	25	F	24	2	6	8	22	2	15:18	12:44	0:16	2:17	2	0	0	0	0	5	1	0	1	0	7	1	0	1	0	12.5%	0.327	0.980	1.307	0.392	0.981	1.374	0.000	9.045	9.045	0.083	0.250	0.333	27	7.4%	64	20	19	18	51.35%
56	CA	Brett Kulak	EDM	29	D	25	1	7	8	14	-3	16:29	15:28	0:06	0:54	1	0	0	0	0	7	0	0	0	0	8	0	0	0	0	0.0%	0.145	1.018	1.164	0.155	1.085	1.240	0.000	0.000	0.000	0.040	0.280	0.320	21	4.8%	23	45	0	0	0.00%
57	US	Adam Fox	NYR	25	D	16	0	8	8	8	5	23:57	18:21	3:17	2:19	0	0	0	0	0	5	3	0	1	0	5	3	0	1	0	37.5%	0.000	1.252	1.252	0.000	1.022	1.022	0.000	3.420	3.420	0.000	0.500	0.500	25	0.0%	17	41	0	0	0.00%
58	CA	Dylan Holloway	EDM	22	F	25	5	2	7	8	4	11:30	11:25	0:04	0:00	5	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0.0%	1.043	0.417	1.460	1.050	0.420	1.469	0.000	0.000	0.000	0.200	0.080	0.280	29	17.2%	86	21	3	7	30.00%
59	CA	Adam Henrique	EDM	33	F	17	4	3	7	2	3	14:06	12:45	0:14	1:07	4	0	0	2	0	3	0	0	0	0	7	0	0	2	0	0.0%	1.001	0.751	1.751	1.107	0.830	1.937	0.000	0.000	0.000	0.235	0.176	0.412	14	28.6%	52	14	72	76	48.65%
60	US	Jack Eichel	VGK	27	F	7	3	4	7	0	0	21:20	18:03	1:53	1:23	2	0	1	0	0	2	2	0	1	0	4	2	1	1	0	28.6%	1.205	1.606	2.811	0.949	0.949	1.898	0.000	9.057	9.057	0.429	0.571	1.000	23	13.0%	12	7	55	54	50.46%
61	RU	Evgeny Dadonov	DAL	34	F	19	3	4	7	2	0	12:54	12:47	0:07	0:00	3	0	0	0	0	4	0	0	1	0	7	0	0	1	0	0.0%	0.734	0.978	1.712	0.740	0.987	1.728	0.000	0.000	0.000	0.158	0.211	0.368	26	11.5%	21	15	0	0	0.00%
62	CA	Josh Manson	COL	32	D	11	2	5	7	12	7	20:22	18:26	0:04	1:51	2	0	0	0	0	5	0	0	0	0	7	0	0	0	0	0.0%	0.535	1.338	1.874	0.591	1.478	2.070	0.000	0.000	0.000	0.182	0.455	0.636	25	8.0%	39	22	0	0	0.00%
63	SE	Victor Hedman	TBL	33	D	5	1	6	7	0	-1	25:45	18:19	4:37	2:48	1	0	0	0	0	3	2	1	0	0	4	2	1	0	0	28.6%	0.466	2.796	3.262	0.655	1.965	2.620	0.000	5.195	5.195	0.200	1.200	1.400	15	6.7%	10	9	0	0	0.00%
64	US	Jacob Trouba	NYR	29	D	16	1	6	7	22	0	20:58	17:25	0:39	2:53	0	0	1	0	0	4	1	1	2	1	4	1	2	2	1	14.3%	0.179	1.072	1.251	0.000	0.861	0.861	0.000	5.678	5.678	0.063	0.375	0.438	18	5.6%	60	72	0	0	0.00%
65	RU	Nikita Kucherov	TBL	30	F	5	0	7	7	2	-1	21:25	16:27	4:57	0:00	0	0	0	0	0	4	3	0	0	0	4	3	0	0	0	42.9%	0.000	3.920	3.920	0.000	2.917	2.917	0.000	7.253	7.253	0.000	1.400	1.400	9	0.0%	13	3	0	0	0.00%
66	CA	Steven Stamkos	TBL	33	F	5	5	1	6	2	-5	20:05	15:12	4:51	0:01	2	3	0	0	0	1	0	0	0	0	3	3	0	0	0	50.0%	2.988	0.598	3.585	1.578	0.789	2.367	7.407	0.000	7.407	1.000	0.200	1.200	15	33.3%	23	3	43	38	53.09%
67	RU	Evgeny Kuznetsov	CAR	31	F	10	4	2	6	4	1	11:29	9:35	1:54	0:00	3	1	0	1	0	2	0	0	1	0	5	1	0	2	0	16.7%	2.088	1.044	3.131	1.876	1.251	3.127	3.152	0.000	3.152	0.400	0.200	0.600	20	20.0%	8	1	38	44	46.34%
68	CA	Mark Scheifele	WPG	30	F	5	2	4	6	0	-6	21:42	18:53	2:40	0:08	2	0	0	0	0	1	3	0	1	0	3	3	0	1	0	50.0%	1.105	2.211	3.316	1.271	0.635	1.906	0.000	13.433	13.433	0.400	0.800	1.200	10	20.0%	13	5	52	40	56.52%
69	SE	Filip Forsberg	NSH	29	F	6	2	4	6	2	0	20:25	16:37	3:47	0:00	2	0	0	1	0	2	2	0	1	0	4	2	0	2	0	33.3%	0.979	1.958	2.937	1.203	1.203	2.405	0.000	5.267	5.267	0.333	0.667	1.000	17	11.8%	18	2	1	0	100.00%
70	RU	Dmitry Orlov	CAR	32	D	11	2	4	6	14	0	20:56	19:58	0:05	0:52	2	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0.0%	0.521	1.042	1.563	0.546	1.092	1.639	0.000	0.000	0.000	0.182	0.364	0.545	22	9.1%	18	19	0	0	0.00%
71	FI	Teuvo Teräväinen	CAR	29	F	11	2	4	6	0	0	18:07	14:24	2:18	1:24	1	1	0	0	0	2	2	0	1	0	3	3	0	1	0	50.0%	0.602	1.203	1.805	0.378	0.757	1.135	2.356	4.712	7.068	0.182	0.364	0.545	18	11.1%	3	7	4	5	44.44%
72	CA	Matt Duchene	DAL	32	F	19	2	4	6	6	0	17:10	15:32	1:33	0:03	1	1	0	1	1	3	1	0	0	0	4	2	0	1	1	33.3%	0.368	0.736	1.104	0.203	0.609	0.813	2.022	2.022	4.045	0.105	0.211	0.316	27	7.4%	19	21	76	71	51.70%
73	CA	Connor Brown	EDM	29	F	19	2	4	6	6	4	11:55	10:03	0:03	1:48	1	0	1	0	0	2	0	2	1	0	3	0	3	1	0	0.0%	0.530	1.060	1.590	0.314	0.628	0.942	0.000	0.000	0.000	0.105	0.211	0.316	14	14.3%	9	10	4	4	50.00%
74	SE	Oliver Ekman-Larsson	FLA	32	D	24	2	4	6	24	1	15:26	13:13	1:45	0:27	2	0	0	0	0	0	4	0	0	0	2	4	0	0	0	66.7%	0.324	0.648	0.971	0.378	0.000	0.378	0.000	5.701	5.701	0.083	0.167	0.250	27	7.4%	65	18	0	0	0.00%
75	CA	Darnell Nurse	EDM	28	D	25	2	4	6	12	-9	18:50	16:41	0:31	1:36	2	0	0	0	0	3	1	0	1	0	5	1	0	1	0	16.7%	0.255	0.510	0.764	0.288	0.431	0.719	0.000	4.517	4.517	0.080	0.160	0.240	43	4.7%	49	62	0	0	0.00%
76	CA	Devon Toews	COL	29	D	10	1	5	6	2	4	25:11	21:43	0:59	2:28	0	0	1	0	0	5	0	0	1	0	5	0	1	1	0	0.0%	0.238	1.191	1.429	0.000	1.381	1.381	0.000	0.000	0.000	0.100	0.500	0.600	18	5.6%	14	13	0	0	0.00%
77	CZ	Pavel Zacha	BOS	26	F	13	1	5	6	4	2	18:04	13:46	1:54	2:23	1	0	0	0	0	5	0	0	1	0	6	0	0	1	0	0.0%	0.255	1.277	1.532	0.335	1.676	2.012	0.000	0.000	0.000	0.077	0.385	0.462	19	5.3%	25	4	72	80	47.37%
78	US	Charlie McAvoy	BOS	26	D	13	1	5	6	20	-4	25:35	20:46	2:20	2:27	1	0	0	1	0	2	3	0	1	0	3	3	0	2	0	50.0%	0.180	0.902	1.082	0.222	0.444	0.666	0.000	5.905	5.905	0.077	0.385	0.462	23	4.4%	53	34	0	0	0.00%
79	SE	Elias Pettersson	VAN	25	F	13	1	5	6	2	0	19:07	14:48	3:24	0:54	0	1	0	0	0	4	1	0	2	0	4	2	0	2	0	33.3%	0.241	1.206	1.447	0.000	1.247	1.247	1.352	1.352	2.705	0.077	0.385	0.462	22	4.6%	28	11	51	51	50.00%
80	CA	Aaron Ekblad	FLA	27	D	24	1	5	6	16	4	22:32	19:01	0:22	3:09	1	0	0	0	0	4	0	1	3	0	5	0	1	3	0	0.0%	0.111	0.554	0.665	0.131	0.526	0.657	0.000	0.000	0.000	0.042	0.208	0.250	33	3.0%	71	48	0	0	0.00%
81	SE	Adrian Kempe	LAK	27	F	5	4	1	5	4	-1	19:48	14:57	3:14	1:36	4	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0.0%	2.424	0.606	3.030	3.210	0.802	4.012	0.000	0.000	0.000	0.800	0.200	1.000	21	19.1%	13	0	0	0	0.00%
82	CA	Morgan Geekie	BOS	25	F	13	4	1	5	6	0	16:39	14:52	1:41	0:05	3	1	0	0	0	1	0	0	0	0	4	1	0	0	0	20.0%	1.108	0.277	1.386	0.931	0.310	1.241	2.736	0.000	2.736	0.308	0.077	0.385	19	21.1%	32	6	65	77	45.77%
83	US	Kyle Connor	WPG	27	F	5	3	2	5	4	-2	20:46	17:49	2:38	0:19	2	1	0	1	0	2	0	0	0	0	4	1	0	1	0	20.0%	1.733	1.155	2.888	1.347	1.347	2.693	4.551	0.000	4.551	0.600	0.400	1.000	19	15.8%	4	2	0	0	0.00%
84	CA	Brandon Hagel	TBL	25	F	5	3	2	5	2	-5	21:36	16:39	2:41	2:14	2	0	1	1	0	1	1	0	0	0	3	1	1	1	0	20.0%	1.667	1.111	2.778	1.440	0.720	2.160	0.000	4.455	4.455	0.600	0.400	1.000	8	37.5%	12	4	1	2	33.33%
85	US	Conor Garland	VAN	27	F	13	3	2	5	2	0	15:05	13:19	1:41	0:05	3	0	0	1	0	2	0	0	2	1	5	0	0	3	1	0.0%	0.918	0.612	1.530	1.039	0.693	1.732	0.000	0.000	0.000	0.231	0.154	0.385	24	12.5%	10	11	0	0	0.00%
86	CA	Mason Marchment	DAL	28	F	13	3	2	5	10	-3	16:14	14:54	1:20	0:00	3	0	0	1	0	2	0	0	0	0	5	0	0	1	0	0.0%	0.852	0.568	1.420	0.928	0.619	1.547	0.000	0.000	0.000	0.231	0.154	0.385	24	12.5%	52	6	2	2	50.00%
87	US	Trent Frederic	BOS	25	F	13	3	2	5	20	5	13:23	12:24	0:06	0:52	3	0	0	0	0	2	0	0	1	0	5	0	0	1	0	0.0%	1.034	0.689	1.724	1.116	0.744	1.861	0.000	0.000	0.000	0.231	0.154	0.385	18	16.7%	53	10	22	38	36.67%
88	FI	Esa Lindell	DAL	29	D	19	3	2	5	4	2	24:45	22:35	0:09	2:00	3	0	0	0	0	2	0	0	1	0	5	0	0	1	0	0.0%	0.383	0.255	0.638	0.419	0.280	0.699	0.000	0.000	0.000	0.158	0.105	0.263	23	13.0%	27	46	0	0	0.00%
