Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
256	CH	Pius Suter	STL	29	F	21	5	4	9	8	10	14:37	11:57	0:31	2:08	4	0	1	0	0	3	1	0	1	0	7	1	1	1	0	11.1%	0.977	0.782	1.759	0.956	0.717	1.674	0.000	5.463	5.463	0.238	0.190	0.429	29	17.2%	9	7	78	91	46.15%
257	SE	Simon Holmström	NYI	24	F	21	5	4	9	0	-9	17:16	13:25	1:51	1:59	3	1	1	2	0	4	0	0	0	0	7	1	1	2	0	11.1%	0.827	0.662	1.489	0.639	0.852	1.490	1.540	0.000	1.540	0.238	0.190	0.429	34	14.7%	6	5	1	3	25.00%
258	CA	Michael Misa	SJS	18	F	24	5	4	9	6	-4	13:29	12:36	0:52	0:00	4	1	0	1	1	3	1	0	1	0	7	2	0	2	1	22.2%	0.926	0.741	1.667	0.793	0.595	1.388	2.846	2.846	5.692	0.208	0.167	0.375	27	18.5%	6	13	93	104	47.21%
259	CA	Sam Steel	DAL	27	F	14	4	5	9	4	4	15:18	12:53	0:20	2:04	4	0	0	0	0	5	0	0	2	0	9	0	0	2	0	0.0%	1.120	1.400	2.520	1.330	1.662	2.991	0.000	0.000	0.000	0.286	0.357	0.643	17	23.5%	18	6	6	7	46.15%
260	CA	Nazem Kadri	TOT	35	F	19	4	5	9	8	-6	17:50	14:22	3:25	0:02	1	3	0	1	0	2	3	0	0	0	3	6	0	1	0	66.7%	0.708	0.885	1.592	0.220	0.439	0.659	2.761	2.761	5.521	0.211	0.263	0.474	48	8.3%	14	11	57	97	37.01%
261	CA	Mason McTavish	ANA	22	F	21	4	5	9	6	-6	12:51	10:56	1:54	0:00	2	2	0	1	0	3	2	0	0	0	5	4	0	1	0	44.4%	0.889	1.112	2.001	0.522	0.783	1.306	2.999	2.999	5.998	0.190	0.238	0.429	32	12.5%	36	5	41	47	46.59%
262	CA	Brandon Montour	SEA	31	D	22	4	5	9	12	-19	23:05	21:01	1:41	0:22	3	1	0	1	1	4	1	0	2	0	7	2	0	3	1	22.2%	0.473	0.591	1.063	0.389	0.519	0.908	1.612	1.612	3.224	0.182	0.227	0.409	69	5.8%	28	23	0	0	0.00%
263	CA	Michael Carcone	UTA	29	F	22	4	5	9	2	-3	13:03	11:56	1:06	0:00	2	2	0	0	0	4	1	0	0	0	6	3	0	0	0	33.3%	0.836	1.045	1.880	0.456	0.913	1.369	4.932	2.466	7.397	0.182	0.227	0.409	37	10.8%	54	2	4	4	50.00%
264	LV	Teodors Blueger	VAN	31	F	22	4	5	9	18	-12	16:38	14:36	0:04	1:57	2	1	1	0	0	5	0	0	0	0	7	1	1	0	0	11.1%	0.655	0.819	1.475	0.373	0.933	1.307	33.962	0.000	33.962	0.182	0.227	0.409	28	14.3%	26	11	124	118	51.24%
265	FI	Eetu Luostarinen	FLA	27	F	22	4	5	9	10	1	16:07	13:46	0:50	1:29	4	0	0	0	0	5	0	0	1	0	9	0	0	1	0	0.0%	0.677	0.846	1.523	0.792	0.990	1.781	0.000	0.000	0.000	0.182	0.227	0.409	28	14.3%	21	15	88	109	44.67%
266	CA	Emmitt Finnie	DET	20	F	22	4	5	9	0	-1	15:47	13:40	1:07	0:59	4	0	0	0	0	5	0	0	1	0	9	0	0	1	0	0.0%	0.691	0.863	1.554	0.797	0.997	1.794	0.000	0.000	0.000	0.182	0.227	0.409	30	13.3%	40	10	35	37	48.61%
267	BY	Yegor Sharangovich	CGY	27	F	23	4	5	9	4	0	15:51	13:19	1:06	1:26	2	1	1	0	0	4	1	0	0	0	6	2	1	0	0	22.2%	0.658	0.823	1.481	0.392	0.784	1.175	2.370	2.370	4.740	0.174	0.217	0.391	35	11.4%	5	6	17	15	53.13%
268	CA	Denton Mateychuk	CBJ	21	D	24	4	5	9	4	4	17:44	16:28	0:34	0:41	4	0	0	0	0	4	1	0	1	0	8	1	0	1	0	11.1%	0.564	0.705	1.268	0.607	0.607	1.214	0.000	4.348	4.348	0.167	0.208	0.375	27	14.8%	7	26	0	0	0.00%
269	SE	Anton Frondell	CHI	18	F	12	3	6	9	4	-1	17:41	14:09	3:32	0:00	3	0	0	0	0	4	2	0	0	0	7	2	0	0	0	22.2%	0.848	1.696	2.543	1.060	1.413	2.473	0.000	2.822	2.822	0.250	0.500	0.750	36	8.3%	8	13	32	74	30.19%
270	US	Shayne Gostisbehere	CAR	32	D	13	3	6	9	8	0	17:14	14:49	2:20	0:04	2	1	0	0	0	3	3	0	0	0	5	4	0	0	0	44.4%	0.803	1.606	2.409	0.622	0.934	1.556	1.969	5.908	7.877	0.231	0.462	0.692	25	12.0%	10	18	0	0	0.00%
271	CA	Justin Sourdif	WSH	23	F	20	3	6	9	10	6	15:20	13:49	1:23	0:08	2	1	0	0	0	6	0	0	1	0	8	1	0	1	0	11.1%	0.586	1.173	1.759	0.434	1.302	1.736	2.161	0.000	2.161	0.150	0.300	0.450	25	12.0%	23	15	80	95	45.71%
272	CA	Logan Mailloux	STL	22	D	22	3	6	9	15	8	21:41	18:12	1:31	1:57	3	0	0	0	0	4	2	0	2	0	7	2	0	2	0	22.2%	0.377	0.755	1.132	0.449	0.599	1.049	0.000	3.580	3.580	0.136	0.273	0.409	38	7.9%	35	25	0	0	0.00%
273	CA	Sean Monahan	CBJ	31	F	24	3	6	9	0	-1	16:16	13:03	1:17	1:56	1	0	2	0	0	4	2	0	0	0	5	2	2	0	0	22.2%	0.461	0.922	1.383	0.192	0.766	0.958	0.000	3.888	3.888	0.125	0.250	0.375	42	7.1%	19	9	152	155	49.51%
274	SE	Joel Eriksson Ek	MIN	28	F	16	2	7	9	10	2	18:30	13:51	3:21	1:17	2	0	0	1	0	6	1	0	0	0	8	1	0	1	0	11.1%	0.405	1.418	1.823	0.541	1.623	2.164	0.000	1.116	1.116	0.125	0.438	0.563	44	4.6%	28	13	134	131	50.57%
275	US	Ryan Ufko	NSH	22	D	17	2	7	9	4	1	13:29	11:55	1:30	0:03	2	0	0	1	0	6	1	0	1	0	8	1	0	2	0	11.1%	0.523	1.831	2.354	0.592	1.775	2.367	0.000	2.347	2.347	0.118	0.412	0.529	11	18.2%	10	12	0	0	0.00%
276	CA	Drew Doughty	LAK	36	D	21	2	7	9	8	3	23:50	21:00	1:19	1:31	2	0	0	0	0	7	0	0	2	2	9	0	0	2	2	0.0%	0.240	0.839	1.078	0.272	0.952	1.224	0.000	0.000	0.000	0.095	0.333	0.429	29	6.9%	25	20	0	0	0.00%
277	SE	Adam Larsson	SEA	33	D	22	2	7	9	10	-1	20:28	18:13	0:02	2:12	2	0	0	0	0	7	0	0	1	0	9	0	0	1	0	0.0%	0.266	0.932	1.199	0.299	1.048	1.347	0.000	0.000	0.000	0.091	0.318	0.409	38	5.3%	30	35	0	0	0.00%
278	US	Brady Skjei	NSH	31	D	22	2	7	9	12	4	23:17	19:40	0:58	2:38	1	0	1	0	0	5	1	1	1	0	6	1	2	1	0	11.1%	0.234	0.820	1.054	0.139	0.693	0.832	0.000	2.806	2.806	0.091	0.318	0.409	23	8.7%	19	21	0	0	0.00%
279	CA	Vince Dunn	SEA	29	D	22	2	7	9	10	-5	20:28	18:08	2:20	0:00	2	0	0	0	0	5	2	0	1	0	7	2	0	1	0	22.2%	0.266	0.932	1.198	0.301	0.752	1.053	0.000	2.329	2.329	0.091	0.318	0.409	54	3.7%	7	25	0	0	0.00%
280	CH	J.J. Moser	TBL	25	D	23	2	7	9	20	1	20:38	18:28	0:06	2:03	2	0	0	0	0	6	0	1	2	0	8	0	1	2	0	0.0%	0.253	0.884	1.137	0.282	0.847	1.129	0.000	0.000	0.000	0.087	0.304	0.391	29	6.9%	18	16	0	0	0.00%
281	US	Anthony DeAngelo	NYI	30	D	16	1	8	9	8	-6	20:11	18:35	1:33	0:02	1	0	0	0	0	5	3	0	3	1	6	3	0	3	1	33.3%	0.186	1.486	1.672	0.202	1.009	1.211	0.000	7.186	7.186	0.063	0.500	0.563	32	3.1%	9	16	0	0	0.00%
282	FI	Esa Lindell	DAL	31	D	23	1	8	9	6	10	21:54	17:14	0:58	3:41	0	1	0	0	0	7	1	0	1	0	7	2	0	1	0	22.2%	0.119	0.953	1.072	0.000	1.059	1.059	2.691	2.691	5.381	0.043	0.348	0.391	23	4.4%	7	47	0	0	0.00%
283	CH	Jonas Siegenthaler	NJD	28	D	22	0	9	9	4	2	18:49	16:46	0:01	2:02	0	0	0	0	0	8	0	1	1	0	8	0	1	1	0	0.0%	0.000	1.303	1.303	0.000	1.300	1.300	0.000	0.000	0.000	0.000	0.409	0.409	16	0.0%	14	35	0	0	0.00%
284	SE	Emil Heineman	NYI	24	F	22	7	1	8	4	-4	16:06	14:10	1:36	0:19	5	2	0	1	0	1	0	0	0	0	6	2	0	1	0	25.0%	1.185	0.169	1.355	0.962	0.192	1.155	3.396	0.000	3.396	0.318	0.045	0.364	44	15.9%	54	12	3	4	42.86%
285	CA	Reilly Smith	VGK	34	F	14	6	2	8	2	-1	13:01	12:11	0:23	0:25	6	0	0	2	0	2	0	0	0	0	8	0	0	2	0	0.0%	1.975	0.658	2.634	2.110	0.703	2.813	0.000	0.000	0.000	0.429	0.143	0.571	30	20.0%	4	1	0	0	0.00%
286	CA	Cole Reinhardt	TOT	25	F	18	6	2	8	9	2	12:35	12:18	0:00	0:17	6	0	0	2	0	2	0	0	0	0	8	0	0	2	0	0.0%	1.588	0.529	2.117	1.626	0.542	2.167	0.000	0.000	0.000	0.333	0.111	0.444	17	35.3%	55	8	1	0	100.00%
287	CA	Sean Couturier	PHI	33	F	20	6	2	8	6	1	15:02	12:20	0:11	2:30	6	0	0	1	0	2	0	0	0	0	8	0	0	1	0	0.0%	1.196	0.399	1.595	1.458	0.486	1.944	0.000	0.000	0.000	0.300	0.100	0.400	26	23.1%	33	6	118	87	57.56%
288	CA	Warren Foegele	TOT	29	F	22	6	2	8	4	5	11:47	10:33	1:08	0:06	5	1	0	4	0	2	0	0	1	0	7	1	0	5	0	12.5%	1.387	0.462	1.850	1.292	0.517	1.809	2.400	0.000	2.400	0.273	0.091	0.364	28	21.4%	27	9	5	1	83.33%
