Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
109	CA	Quinton Byfield	LAK	22	F	6	3	1	4	2	-7	22:26	17:52	3:25	1:08	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0.0%	1.337	0.446	1.782	1.678	0.559	2.237	0.000	0.000	0.000	0.500	0.167	0.667	18	16.7%	14	2	36	47	43.37%
110	FI	Artturi Lehkonen	COL	29	F	7	3	1	4	4	3	19:13	15:53	2:53	0:27	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0.0%	1.338	0.446	1.784	1.619	0.540	2.158	0.000	0.000	0.000	0.429	0.143	0.571	21	14.3%	16	5	0	0	0.00%
111	RU	Valeri Nichushkin	COL	29	F	7	3	1	4	0	1	19:35	15:40	2:26	1:28	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0.0%	1.312	0.437	1.749	1.640	0.547	2.187	0.000	0.000	0.000	0.429	0.143	0.571	13	23.1%	20	4	1	0	100.00%
112	AU	Nathan Walker	STL	30	F	7	3	1	4	22	5	14:37	12:47	0:24	1:26	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0.0%	1.758	0.586	2.343	2.011	0.670	2.682	0.000	0.000	0.000	0.429	0.143	0.571	11	27.3%	40	10	4	2	66.67%
113	US	Brandon Duhaime	WSH	27	F	10	3	1	4	10	-4	14:10	11:53	0:00	2:17	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0.0%	1.270	0.423	1.693	1.515	0.505	2.020	0.000	0.000	0.000	0.300	0.100	0.400	11	27.3%	40	16	1	4	20.00%
114	CA	Reilly Smith	VGK	33	F	11	3	1	4	4	1	15:36	13:29	0:42	1:24	2	0	1	1	0	1	0	0	1	1	3	0	1	2	1	0.0%	1.049	0.350	1.398	0.809	0.404	1.213	0.000	0.000	0.000	0.273	0.091	0.364	17	17.7%	20	7	1	3	25.00%
115	SE	Mattias Janmark-Nylén	EDM	32	F	22	3	1	4	14	5	12:17	10:27	0:04	1:45	3	0	0	1	0	1	0	0	0	0	4	0	0	1	0	0.0%	0.666	0.222	0.888	0.783	0.261	1.044	0.000	0.000	0.000	0.136	0.045	0.182	15	20.0%	31	12	26	63	29.21%
116	CH	Timo Meier	NJD	28	F	5	2	2	4	6	-1	21:48	17:44	4:04	0:00	2	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0.0%	1.100	1.100	2.200	1.352	1.352	2.705	0.000	0.000	0.000	0.400	0.400	0.800	18	11.1%	21	8	0	2	0.00%
117	US	Trevor Moore	LAK	29	F	6	2	2	4	0	3	19:56	17:16	1:17	1:22	2	0	0	0	0	1	1	0	1	0	3	1	0	1	0	25.0%	1.003	1.003	2.006	1.157	0.579	1.736	0.000	7.742	7.742	0.333	0.333	0.667	14	14.3%	16	8	0	1	0.00%
118	RU	Alexei Toropchenko	STL	25	F	7	2	2	4	10	7	14:03	12:10	0:22	1:30	2	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0.0%	1.219	1.219	2.438	1.408	1.408	2.815	0.000	0.000	0.000	0.286	0.286	0.571	8	25.0%	27	5	0	1	0.00%
119	US	Jimmy Snuggerud	STL	20	F	7	2	2	4	0	2	17:05	13:54	3:11	0:00	1	1	0	0	0	2	0	0	0	0	3	1	0	0	0	25.0%	1.003	1.003	2.006	0.616	1.233	1.849	2.691	0.000	2.691	0.286	0.286	0.571	12	16.7%	9	3	0	0	0.00%
120	SE	Victor Olofsson	VGK	29	F	9	2	2	4	0	-4	14:21	12:25	1:56	0:00	0	2	0	0	0	1	1	0	0	0	1	3	0	0	0	75.0%	0.928	0.928	1.856	0.000	0.537	0.537	6.851	3.425	10.276	0.222	0.222	0.444	14	14.3%	13	1	1	1	50.00%
121	CA	Nicolas Roy	VGK	27	F	11	2	2	4	21	-5	14:22	12:51	1:09	0:21	1	1	0	0	0	2	0	0	2	1	3	1	0	2	1	25.0%	0.759	0.759	1.517	0.424	0.848	1.272	4.724	0.000	4.724	0.182	0.182	0.364	11	18.2%	21	4	50	46	52.08%
122	SE	Oliver Ekman-Larsson	TOR	33	D	13	2	2	4	8	-1	19:03	17:44	1:04	0:14	2	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0.0%	0.484	0.484	0.969	0.520	0.520	1.040	0.000	0.000	0.000	0.154	0.154	0.308	12	16.7%	18	18	0	0	0.00%
123	US	Jaccob Slavin	CAR	30	D	15	2	2	4	0	10	23:43	19:52	0:08	3:42	2	0	0	1	1	2	0	0	1	0	4	0	0	2	1	0.0%	0.337	0.337	0.674	0.403	0.403	0.805	0.000	0.000	0.000	0.133	0.133	0.267	31	6.5%	8	36	0	0	0.00%
124	SE	Gabriel Landeskog	COL	32	F	5	1	3	4	0	4	17:13	13:53	3:19	0:00	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0.0%	0.697	2.091	2.787	0.864	2.591	3.454	0.000	0.000	0.000	0.200	0.600	0.800	10	10.0%	16	3	4	7	36.36%
125	CA	Gage Goncalves	TBL	23	F	5	1	3	4	2	-2	16:54	14:07	2:45	0:01	1	0	0	0	0	3	0	0	1	0	4	0	0	1	0	0.0%	0.710	2.130	2.840	0.850	2.550	3.399	0.000	0.000	0.000	0.200	0.600	0.800	4	25.0%	15	4	1	0	100.00%
126	CA	Drew Doughty	LAK	35	D	6	1	3	4	6	-7	27:12	24:59	1:24	0:48	0	1	0	0	0	3	0	0	0	0	3	1	0	0	0	25.0%	0.368	1.103	1.470	0.000	1.201	1.201	7.129	0.000	7.129	0.167	0.500	0.667	10	10.0%	12	7	0	0	0.00%
127	CA	Thomas Chabot	OTT	27	D	6	1	3	4	2	1	24:57	22:44	1:16	0:56	1	0	0	1	0	2	1	0	0	0	3	1	0	1	0	25.0%	0.401	1.202	1.602	0.440	0.879	1.319	0.000	7.826	7.826	0.167	0.500	0.667	11	9.1%	8	8	0	0	0.00%
128	CA	Devon Toews	COL	30	D	7	1	3	4	2	3	24:33	20:23	1:13	2:56	1	0	0	0	0	2	1	0	0	0	3	1	0	0	0	25.0%	0.349	1.047	1.396	0.420	0.841	1.261	0.000	7.045	7.045	0.143	0.429	0.571	5	20.0%	5	17	0	0	0.00%
129	FI	Miro Heiskanen	DAL	25	D	8	1	3	4	0	-4	21:48	19:00	2:28	0:20	0	1	0	0	0	1	2	0	0	0	1	3	0	0	0	75.0%	0.344	1.031	1.375	0.000	0.395	0.395	3.038	6.076	9.114	0.125	0.375	0.500	14	7.1%	7	8	0	0	0.00%
130	US	Jack Roslovic	CAR	27	F	9	1	3	4	0	-3	13:42	12:21	1:18	0:01	0	1	0	0	0	3	0	0	1	0	3	1	0	1	0	25.0%	0.487	1.460	1.946	0.000	1.617	1.617	5.099	0.000	5.099	0.111	0.333	0.444	16	6.3%	13	6	58	44	56.86%
131	CA	Gabriel Vilardi	WPG	25	F	9	1	3	4	4	1	19:42	15:45	3:57	0:00	0	1	0	1	0	3	0	0	0	0	3	1	0	1	0	25.0%	0.338	1.015	1.353	0.000	1.270	1.270	1.685	0.000	1.685	0.111	0.333	0.444	21	4.8%	11	8	31	18	63.27%
132	CA	Dylan Demelo	WPG	31	D	12	1	3	4	10	-1	21:52	19:51	0:07	1:53	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0.0%	0.229	0.686	0.914	0.252	0.755	1.007	0.000	0.000	0.000	0.083	0.250	0.333	18	5.6%	24	14	0	0	0.00%
133	RU	Evgeny Dadonov	DAL	35	F	16	1	3	4	2	-3	11:38	11:35	0:03	0:00	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0.0%	0.322	0.966	1.288	0.324	0.971	1.294	0.000	0.000	0.000	0.063	0.188	0.250	16	6.3%	19	7	0	0	0.00%
134	SE	John Klingberg	EDM	32	D	19	1	3	4	2	3	19:07	18:15	0:33	0:19	0	1	0	0	0	3	0	0	0	0	3	1	0	0	0	25.0%	0.165	0.495	0.660	0.000	0.519	0.519	5.714	0.000	5.714	0.053	0.158	0.211	23	4.4%	24	32	0	0	0.00%
135	US	Trent Frederic	EDM	26	F	22	1	3	4	25	1	11:24	11:22	0:00	0:01	1	0	0	1	0	3	0	0	0	0	4	0	0	1	0	0.0%	0.239	0.717	0.956	0.240	0.719	0.959	0.000	0.000	0.000	0.045	0.136	0.182	22	4.6%	85	15	12	9	57.14%
136	RU	Nikita Kucherov	TBL	31	F	5	0	4	4	2	0	22:58	17:03	5:54	0:00	0	0	0	0	0	3	1	0	0	0	3	1	0	0	0	25.0%	0.000	2.089	2.089	0.000	2.110	2.110	0.000	2.032	2.032	0.000	0.800	0.800	7	0.0%	5	1	0	0	0.00%
137	US	Brock Nelson	COL	33	F	7	0	4	4	2	2	16:52	16:02	0:49	0:00	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0.0%	0.000	2.032	2.032	0.000	2.137	2.137	0.000	0.000	0.000	0.000	0.571	0.571	13	0.0%	9	10	52	66	44.07%
138	CA	Brayden McNabb	VGK	33	D	11	0	4	4	6	-7	21:14	18:45	0:01	2:27	0	0	0	0	0	4	0	0	2	0	4	0	0	2	0	0.0%	0.000	1.027	1.027	0.000	1.163	1.163	0.000	0.000	0.000	0.000	0.364	0.364	10	0.0%	33	29	0	0	0.00%
139	US	Jake McCabe	TOR	31	D	13	0	4	4	2	-1	21:57	19:16	0:09	2:31	0	0	0	0	0	4	0	0	1	0	4	0	0	1	0	0.0%	0.000	0.841	0.841	0.000	0.958	0.958	0.000	0.000	0.000	0.000	0.308	0.308	10	0.0%	23	32	0	0	0.00%
140	FI	Jesperi Kotkaniemi	CAR	24	F	14	0	4	4	14	1	13:29	11:52	1:34	0:03	0	0	0	0	0	2	2	0	0	0	2	2	0	0	0	50.0%	0.000	1.271	1.271	0.000	0.722	0.722	0.000	5.467	5.467	0.000	0.286	0.286	19	0.0%	32	9	63	72	46.67%
141	RU	Dmitry Orlov	CAR	33	D	15	0	4	4	10	2	21:42	19:34	0:03	2:05	0	0	0	0	0	3	0	1	2	1	3	0	1	2	1	0.0%	0.000	0.737	0.737	0.000	0.613	0.613	0.000	0.000	0.000	0.000	0.267	0.267	21	0.0%	39	18	0	0	0.00%
142	CA	Jordan Kyrou	STL	26	F	7	3	0	3	0	-4	17:33	15:23	2:10	0:00	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	66.7%	1.464	0.000	1.464	0.557	0.000	0.557	7.895	0.000	7.895	0.429	0.000	0.429	18	16.7%	6	1	0	0	0.00%
143	CA	Brett Howden	VGK	26	F	11	3	0	3	4	-2	13:49	13:03	0:04	0:41	2	1	0	2	1	0	0	0	0	0	2	1	0	2	1	33.3%	1.184	0.000	1.184	0.835	0.000	0.835	73.469	0.000	73.469	0.273	0.000	0.273	15	20.0%	36	7	23	22	51.11%
144	CA	David Perron	OTT	36	F	6	2	1	3	4	1	13:30	12:07	1:22	0:00	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0.0%	1.480	0.740	2.220	1.649	0.825	2.474	0.000	0.000	0.000	0.333	0.167	0.500	9	22.2%	13	1	2	1	66.67%
145	AT	Marco Rossi	MIN	23	F	6	2	1	3	6	0	11:07	10:32	0:35	0:00	2	0	0	0	0	0	1	0	0	0	2	1	0	0	0	33.3%	1.797	0.898	2.695	1.897	0.000	1.897	0.000	17.143	17.143	0.333	0.167	0.500	9	22.2%	7	3	23	24	48.94%
146	CA	Brayden Schenn	STL	33	F	7	2	1	3	30	-5	17:59	16:03	1:52	0:03	2	0	0	1	0	1	0	0	0	0	3	0	0	1	0	0.0%	0.953	0.477	1.430	1.067	0.534	1.601	0.000	0.000	0.000	0.286	0.143	0.429	10	20.0%	20	6	56	44	56.00%
147	CA	Josh Manson	COL	33	D	7	2	1	3	8	4	18:50	17:17	0:00	1:32	1	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0.0%	0.910	0.455	1.365	0.496	0.496	0.991	0.000	0.000	0.000	0.286	0.143	0.429	18	11.1%	24	10	0	0	0.00%
148	CA	Jordan Staal	CAR	36	F	15	2	1	3	8	-1	16:54	13:46	0:03	3:04	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0.0%	0.473	0.236	0.709	0.581	0.290	0.871	0.000	0.000	0.000	0.133	0.067	0.200	18	11.1%	68	11	160	137	53.87%
149	CA	A.J. Greer	FLA	28	F	16	2	1	3	22	-2	7:38	7:17	0:10	0:09	2	0	0	1	0	1	0	0	0	0	3	0	0	1	0	0.0%	0.983	0.491	1.474	1.028	0.514	1.542	0.000	0.000	0.000	0.125	0.063	0.188	12	16.7%	53	9	5	4	55.56%
150	CA	Jonah Gadjovich	FLA	26	F	16	2	1	3	33	3	7:36	7:28	0:05	0:03	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0.0%	0.985	0.493	1.478	1.004	0.502	1.506	0.000	0.000	0.000	0.125	0.063	0.188	10	20.0%	63	11	0	0	0.00%
151	SE	Jesper Bratt	NJD	26	F	5	1	2	3	0	-5	23:23	16:24	4:19	2:40	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0.0%	0.513	1.026	1.539	0.732	1.463	2.195	0.000	0.000	0.000	0.200	0.400	0.600	20	5.0%	6	5	0	0	0.00%
152	NO	Mats Zuccarello	MIN	37	F	6	1	2	3	0	-1	18:39	15:31	3:01	0:06	1	0	0	1	0	1	1	0	0	0	2	1	0	1	0	33.3%	0.536	1.072	1.607	0.644	0.644	1.288	0.000	3.300	3.300	0.167	0.333	0.500	8	12.5%	11	1	0	2	0.00%
153	CA	Warren Foegele	LAK	28	F	6	1	2	3	0	1	18:41	16:28	1:13	0:58	1	0	0	0	0	1	1	0	0	0	2	1	0	0	0	33.3%	0.535	1.070	1.606	0.607	0.607	1.214	0.000	8.145	8.145	0.167	0.333	0.500	25	4.0%	19	5	2	3	40.00%
154	US	Adam Gaudette	OTT	28	F	6	1	2	3	4	2	9:17	8:40	0:00	0:35	1	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0.0%	1.077	2.154	3.232	1.153	1.153	2.305	0.000	0.000	0.000	0.167	0.333	0.500	4	25.0%	9	5	9	17	34.62%
155	US	Jake Sanderson	OTT	22	D	6	1	2	3	2	-1	26:18	20:41	2:49	2:48	1	0	0	1	1	0	2	0	0	0	1	2	0	1	1	66.7%	0.380	0.760	1.140	0.483	0.000	0.483	0.000	7.094	7.094	0.167	0.333	0.500	9	11.1%	6	12	0	0	0.00%
156	US	Justin Faulk	STL	32	D	7	1	2	3	8	3	23:43	20:04	2:11	1:27	1	0	0	0	0	1	1	0	0	0	2	1	0	0	0	33.3%	0.361	0.723	1.084	0.427	0.427	0.854	0.000	3.926	3.926	0.143	0.286	0.429	12	8.3%	19	13	0	0	0.00%
157	CA	Samuel Girard	COL	26	D	7	1	2	3	0	2	17:38	16:41	0:03	0:53	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0.0%	0.486	0.972	1.458	0.513	1.027	1.540	0.000	0.000	0.000	0.143	0.286	0.429	7	14.3%	9	8	0	0	0.00%
158	US	John Carlson	WSH	34	D	10	1	2	3	2	3	24:15	17:29	3:17	3:28	0	1	0	1	0	1	1	0	0	0	1	2	0	1	0	66.7%	0.247	0.495	0.742	0.000	0.343	0.343	1.824	1.824	3.647	0.100	0.200	0.300	13	7.7%	10	16	0	0	0.00%
159	CA	Sean Walker	CAR	30	D	12	1	2	3	2	1	18:24	16:34	0:40	1:09	1	0	0	0	0	2	0	0	2	0	3	0	0	2	0	0.0%	0.272	0.543	0.815	0.302	0.603	0.905	0.000	0.000	0.000	0.083	0.167	0.250	24	4.2%	16	16	0	0	0.00%
