Name	Round1	Round2	Conference	Final
VGK	0.677	0.379	0.194	0.1
WSH	0.657	0.301	0.126	0.056
WPG	0.651	0.342	0.187	0.098
TOR	0.575	0.293	0.163	0.087
CAR	0.573	0.367	0.19	0.105
LAK	0.518	0.271	0.13	0.06
FLA	0.51	0.283	0.165	0.093
COL	0.508	0.279	0.155	0.078
DAL	0.492	0.266	0.143	0.071
TBL	0.49	0.254	0.138	0.074
EDM	0.482	0.247	0.115	0.051
NJD	0.427	0.245	0.113	0.056
OTT	0.425	0.17	0.082	0.038
STL	0.349	0.112	0.045	0.017
MTL	0.343	0.088	0.024	0.007
MIN	0.323	0.104	0.032	0.009
